,id,item_id,position,path,protocol,mimetype,checksum,orientation,metadata,size,page,color,density,filename
25,52,47,3.0,ars_magna_sciendi_125_white.png,file,image/png,ed0189661bca587bb285892aa731414f,1,{},1004930,0,"rgb(255,255,255,1)",,ars_magna_sciendi_125_white.png
26,54,53,,ars_magna_sciendi_269_muses.jpg,file,image/jpeg,e1558b0959dbc99c48e893f0848398bc,1,{},4394778,0,"rgb(248,232,200,1)",,ars_magna_sciendi_269_muses.jpg
27,56,55,,ars_magna_sciendi_273_tre.jpg,file,image/jpeg,7386eeb239806581cc072b8d40343c91,1,{},2490568,0,"rgb(232,216,184,1)",,ars_magna_sciendi_273_tre.jpg
28,58,57,,bizzarria_figure_1.png,file,image/png,43d4ce1c60fc172791fd8f59161293e0,1,{},1479445,0,"rgb(216,200,184,1)",,bizzarria_figure_1.png
29,60,57,2.0,bizzarria_figure_1_vg.svg,file,image/svg+xml,e88119d2d92ee02e517a97945b9e1d52,1,{},585538,0,"rgb(255,255,255,1)",72.0,bizzarria_figure_1_vg.svg
30,62,57,3.0,bizzarria_figure_1_white.png,file,image/png,5a24bc692cbbfc159eba767e778276cd,1,{},1382226,0,"rgb(255,255,255,1)",,bizzarria_figure_1_white.png
31,64,63,,bizzarria_figure_cavalieri_inesistenti.png,file,image/png,688a9b8148e46d6b4f86d96ad242f42d,1,{},1492631,0,"rgb(216,200,184,1)",,bizzarria_figure_cavalieri_inesistenti.png
32,66,65,,bizzarria_figure_fuoco_acqua.png,file,image/png,cee668f9104ebb62ac58746d160365d2,1,{},1522669,0,"rgb(216,216,200,1)",,bizzarria_figure_fuoco_acqua.png
33,68,67,,bizzarria_figure_terra_aria.png,file,image/png,962a4463e4104071cdd4d65c0cd129a5,1,{},1458365,0,"rgb(216,200,184,1)",,bizzarria_figure_terra_aria.png
34,70,69,,cerone-dice.vg.svg,file,image/svg+xml,987f796f42af334158a34ddc0e844006,1,{},52138,0,"rgb(255,255,255,1)",72.0,cerone-dice.vg.svg
35,72,71,,cerone-dice_white.png,file,image/png,34f910ec2faccbcb64f70a53c0437881,1,{},337696,0,"rgb(255,255,255,1)",,cerone-dice_white.png
36,74,73,,cog_wheels_detail.png,file,image/png,1dbb278566452c3ca8b3f13aa9d3a6e4,1,{},1514691,0,"rgb(255,255,255,1)",,cog_wheels_detail.png
37,76,75,,cosmos_thesaurus_artificiosa.jpg,file,image/jpeg,d0ba782b0e750802fa2a9fd1a50acbd1,1,{},317776,0,"rgb(248,248,232,1)",,cosmos_thesaurus_artificiosa.jpg
38,78,77,,de_musica_proportions_vg.svg,file,image/svg+xml,2d3f6ac24cfe04a847a19f29ef82f200,1,{},599185,0,"rgb(255,255,255,1)",72.0,de_musica_proportions_vg.svg
39,80,77,2.0,de_musica_proportions_white.png,file,image/png,66ab06fe7062bbf02775ddf96095264b,1,{},2348636,0,"rgb(255,255,255,1)",,de_musica_proportions_white.png
40,82,81,,dutch2342a.jpg,file,image/jpeg,96cc668430a183e782fb18dc330e9ac5,1,{},1399845,0,"rgb(216,200,152,1)",,dutch2342a.jpg
41,84,83,,emblem_de_arte_kabbalistica.png,file,image/png,f41f60fffea19a692e82c78c322fb744,1,{},710707,0,"rgb(200,184,136,1)",,emblem_de_arte_kabbalistica.png
42,86,83,2.0,emblem_de_arte_kabbalistica_vg.svg,file,image/svg+xml,9e9c4ebfc7726714865763690bac4fe0,1,{},239389,0,"rgb(255,255,255,1)",72.0,emblem_de_arte_kabbalistica_vg.svg
43,88,87,,fantasia_dialogo_accrescere_memoria.jpg,file,image/jpeg,bf1fbbf05e5741bdbefbcc49e90d3f78,1,{},140344,0,"rgb(216,216,200,1)",,fantasia_dialogo_accrescere_memoria.jpg
44,90,89,,globe_in_spheram_Ioannis.png,file,image/png,3f9cc921aa9adf45effb1c1e84c6dbe0,1,{},1282891,0,"rgb(216,200,184,1)",,globe_in_spheram_Ioannis.png
45,92,89,2.0,globe_in_spheram_Ioannis_vg.svg,file,image/svg+xml,6061e93a8f2929672c9a190b59951d8f,1,{},940711,0,"rgb(255,255,255,1)",72.0,globe_in_spheram_Ioannis_vg.svg
46,94,89,3.0,globe_in_spheram_Ioannis_white.png,file,image/png,e859b6d001304d7819d1e8f7955b16f9,1,{},1759558,0,"rgb(255,255,255,1)",,globe_in_spheram_Ioannis_white.png
47,96,95,,gru_hieroglyphica.png,file,image/png,b9f57c0e011468f8c12a4caaac7dc1ac,1,{},756562,0,"rgb(184,168,152,1)",,gru_hieroglyphica.png
48,98,95,2.0,gru_hieroglyphica_vg.svg,file,image/svg+xml,ff63069bfa390c9ecb154a3093e14372,1,{},248610,0,"rgb(255,255,255,1)",72.0,gru_hieroglyphica_vg.svg
49,100,95,3.0,gru_hieroglyphica_white.png,file,image/png,6646ff4a28ca82d21f48db3c14bb8ac3,1,{},998421,0,"rgb(255,255,255,1)",,gru_hieroglyphica_white.png
50,102,101,,hands1_thesaurus_artificiosa.jpg,file,image/jpeg,6d89f70f49f85966dc99865288c7e1d1,1,{},267754,0,"rgb(248,248,232,1)",,hands1_thesaurus_artificiosa.jpg
51,104,101,2.0,hands2_thesaurus_artificiosa.jpg,file,image/jpeg,9164f565a1f5356bdee006000f345415,1,{},253496,0,"rgb(248,248,232,1)",,hands2_thesaurus_artificiosa.jpg
52,106,101,3.0,hands3_thesaurus_artificiosa.jpg,file,image/jpeg,68e0e9c024d91b4e989fc80ca94b8798,1,{},264752,0,"rgb(248,248,232,1)",,hands3_thesaurus_artificiosa.jpg
53,108,101,4.0,hands4_thesaurus_artificiosa.jpg,file,image/jpeg,75177fe65293ee4562ccdedea4a43609,1,{},265429,0,"rgb(248,248,232,1)",,hands4_thesaurus_artificiosa.jpg
54,110,101,5.0,hands5_thesaurus_artificiosa.jpg,file,image/jpeg,da628c8101a8a5cb5fd3dc3171bee4f9,1,{},231649,0,"rgb(248,248,232,1)",,hands5_thesaurus_artificiosa.jpg
55,112,111,,knight_logica_memorativa.png,file,image/png,2f3f2eed386a3859de79b4f6d1b6051c,1,{},316454,0,"rgb(200,184,168,1)",,knight_logica_memorativa.png
56,114,111,2.0,knight_logica_memorativa_vg.svg,file,image/svg+xml,5191bcbf6f7b23d45e6a725da8d5d5f7,1,{},212836,0,"rgb(255,255,255,1)",72.0,knight_logica_memorativa_vg.svg
57,116,115,,lagado_machine.jpg,file,image/jpeg,69a6a69c7e10385ed516fc84084b3790,1,{},655778,0,"rgb(216,200,184,1)",,lagado_machine.jpg
58,118,117,,letters_ab_unterweysung.jpg,file,image/jpeg,2ac447712386eb008c74f0d4fc64104c,1,{},1628857,0,"rgb(248,248,232,1)",,letters_ab_unterweysung.jpg
59,120,117,2.0,letters_ef_unterweysung.jpg,file,image/jpeg,b1ad2d67963ed605478bef78adf5b6dc,1,{},1648343,0,"rgb(248,248,232,1)",,letters_ef_unterweysung.jpg
60,122,117,3.0,letters_mn_unterweysung.jpg,file,image/jpeg,93871b7d39218a4c7311c8689e8889bd,1,{},1565363,0,"rgb(248,248,232,1)",,letters_mn_unterweysung.jpg
61,124,117,5.0,letters_qr_unterweysung.jpg,file,image/jpeg,5df019015bfd5d2d1b28565b41adf81c,1,{},1488417,0,"rgb(248,248,232,1)",,letters_qr_unterweysung.jpg
62,126,117,4.0,letters_xy_unterweysung.jpg,file,image/jpeg,c5707affc7c897c15d1ae7275441cc86,1,{},1453447,0,"rgb(248,248,232,1)",,letters_xy_unterweysung.jpg
63,128,127,,line_spacer_hieroglyphica.png,file,image/png,52f935e1f7de99c9d28e68fc2add7b5e,1,{},607987,0,"rgb(168,152,136,1)",,line_spacer_hieroglyphica.png
64,130,127,2.0,line_spacer_hieroglyphica_vg.svg,file,image/svg+xml,b3cc8dc2e94d0a14352782bc2b8457aa,1,{},300616,0,"rgb(255,255,255,1)",72.0,line_spacer_hieroglyphica_vg.svg
65,132,131,,lion_hieroglyphica.png,file,image/png,bcf407541ba252e30cde1b12b8cba07f,1,{},515796,0,"rgb(168,152,136,1)",,lion_hieroglyphica.png
66,134,133,,lute_left.png,file,image/png,d8c0b5c0873e86b8064a436ac4a5eb35,1,{},9562907,0,"rgb(255,255,255,1)",,lute_left.png
67,136,135,,magic_lantern_ars_magna_lucis.jpg,file,image/jpeg,5df3549c49b07d1b7d36e74f346e5183,1,{},116967,0,"rgb(232,200,152,1)",,magic_lantern_ars_magna_lucis.jpg
68,138,135,2.0,magic_lantern_ars_magna_lucis_vg.svg,file,image/svg+xml,bcad1f165a2e69ac2508e8d1ddf7b01e,1,{},394777,0,"rgb(255,255,255,1)",72.0,magic_lantern_ars_magna_lucis_vg.svg
69,140,135,3.0,magic_lantern_ars_magna_lucis_white.png,file,image/png,c1c4f74efe19a66933997888186b35ea,1,{},1361652,0,"rgb(255,255,255,1)",,magic_lantern_ars_magna_lucis_white.png
70,142,141,,man_screaming_hieroglyphica.png,file,image/png,97f12f23329595b9157015ad2214db6c,1,{},757117,0,"rgb(168,152,136,1)",,man_screaming_hieroglyphica.png
71,144,143,,meiser_hermes_swords.png,file,image/png,82d2219ef4b0f6ea2f32365979730d5c,1,{},1283302,0,"rgb(232,232,232,1)",,meiser_hermes_swords.png
72,146,145,,metamorfosi_metallico_Q.png,file,image/png,535c9758094aa2e44c19342ab34bacbd,1,{},933891,0,"rgb(216,200,184,1)",,metamorfosi_metallico_Q.png
73,148,147,,metamorfosi_metallico_chimera.png,file,image/png,c968b7ec3bc0a96581d88293025dbd90,1,{},948601,0,"rgb(232,216,200,1)",,metamorfosi_metallico_chimera.png
74,150,149,,metamorfosi_metallico_chimera_vg.svg,file,image/svg+xml,da4499c5367d4f5305e0423fdc95720e,1,{},527493,0,"rgb(255,255,255,1)",72.0,metamorfosi_metallico_chimera_vg.svg
75,152,151,,metamorfosi_metallico_chimera_white.png,file,image/png,4dd647fc20a72cbcba975bf34462981b,1,{},2471571,0,"rgb(255,255,255,1)",,metamorfosi_metallico_chimera_white.png
76,154,153,,metamorfosi_metallico_emblem_grasshopper.png,file,image/png,291fa6cfccc0ac2ea3afab78f8a8914e,1,{},1137865,0,"rgb(232,216,200,1)",,metamorfosi_metallico_emblem_grasshopper.png
77,156,155,,mnemonic_icons1_dialogo_accrescere_memoria.jpg,file,image/jpeg,66771a5d4e05d47cf8ad2b7eec40d335,1,{},99387,0,"rgb(216,216,216,1)",,mnemonic_icons1_dialogo_accrescere_memoria.jpg
78,158,157,,mnemonic_icons2_dialogo_accrescere_memoria.jpg,file,image/jpeg,6c91a2a1e750ccff6cb450d5dcc3b870,1,{},119788,0,"rgb(216,216,200,1)",,mnemonic_icons2_dialogo_accrescere_memoria.jpg
