,value_id,datatype,text,data
55,56,https://tropy.org/v1/tropy#date,2025-04-24T11:04:40.283Z,
56,57,http://www.w3.org/2001/XMLSchema#string,bizzarria_figure_1,
57,58,https://tropy.org/v1/tropy#date,2025-04-18T09:30:09.266Z,
58,59,http://www.w3.org/2001/XMLSchema#string,bizzarria_figure_1_vg,
59,60,https://tropy.org/v1/tropy#date,2025-04-18T09:46:46.749Z,
60,61,http://www.w3.org/2001/XMLSchema#string,bizzarria_figure_1_white,
61,62,https://tropy.org/v1/tropy#date,2025-04-22T11:57:26.366Z,
62,63,http://www.w3.org/2001/XMLSchema#string,bizzarria_figure_cavalieri_inesistenti,
63,64,https://tropy.org/v1/tropy#date,2025-04-18T09:32:15.089Z,
64,65,http://www.w3.org/2001/XMLSchema#string,bizzarria_figure_fuoco_acqua,
65,66,https://tropy.org/v1/tropy#date,2025-04-18T09:31:34.323Z,
66,67,http://www.w3.org/2001/XMLSchema#string,bizzarria_figure_terra_aria,
67,68,https://tropy.org/v1/tropy#date,2025-04-18T09:31:02.559Z,
68,69,http://www.w3.org/2001/XMLSchema#string,cerone-dice.vg,
69,70,https://tropy.org/v1/tropy#date,2025-04-22T11:51:36.386Z,
70,71,http://www.w3.org/2001/XMLSchema#string,cerone-dice_white,
71,72,https://tropy.org/v1/tropy#date,2025-04-22T11:52:44.401Z,
72,73,http://www.w3.org/2001/XMLSchema#string,cog_wheels_detail,
73,74,https://tropy.org/v1/tropy#date,2025-04-22T08:11:02.200Z,
74,75,http://www.w3.org/2001/XMLSchema#string,cosmos_thesaurus_artificiosa,
75,76,https://tropy.org/v1/tropy#date,2025-03-19T15:37:52.521Z,
76,77,http://www.w3.org/2001/XMLSchema#string,de_musica_proportions_vg,
77,78,https://tropy.org/v1/tropy#date,2025-04-22T12:03:30.154Z,
78,79,http://www.w3.org/2001/XMLSchema#string,de_musica_proportions_white,
79,80,https://tropy.org/v1/tropy#date,2025-04-22T12:05:13.222Z,
80,81,http://www.w3.org/2001/XMLSchema#string,dutch2342a,
81,82,https://tropy.org/v1/tropy#date,2025-04-22T08:11:02.205Z,
82,83,http://www.w3.org/2001/XMLSchema#string,emblem_de_arte_kabbalistica,
83,84,https://tropy.org/v1/tropy#date,2025-03-19T14:51:07.287Z,
84,85,http://www.w3.org/2001/XMLSchema#string,emblem_de_arte_kabbalistica_vg,
85,86,https://tropy.org/v1/tropy#date,2025-03-19T14:52:07.844Z,
86,87,http://www.w3.org/2001/XMLSchema#string,fantasia_dialogo_accrescere_memoria,
87,88,https://tropy.org/v1/tropy#date,2025-03-19T15:32:52.777Z,
88,89,http://www.w3.org/2001/XMLSchema#string,globe_in_spheram_Ioannis,
89,90,https://tropy.org/v1/tropy#date,2025-03-19T15:00:21.297Z,
90,91,http://www.w3.org/2001/XMLSchema#string,globe_in_spheram_Ioannis_vg,
91,92,https://tropy.org/v1/tropy#date,2025-03-19T15:01:35.905Z,
92,93,http://www.w3.org/2001/XMLSchema#string,globe_in_spheram_Ioannis_white,
93,94,https://tropy.org/v1/tropy#date,2025-04-22T10:06:53.509Z,
94,95,http://www.w3.org/2001/XMLSchema#string,gru_hieroglyphica,
95,96,https://tropy.org/v1/tropy#date,2025-03-19T15:16:56.618Z,
96,97,http://www.w3.org/2001/XMLSchema#string,gru_hieroglyphica_vg,
97,98,https://tropy.org/v1/tropy#date,2025-04-22T12:17:23.417Z,
98,99,http://www.w3.org/2001/XMLSchema#string,gru_hieroglyphica_white,
99,100,https://tropy.org/v1/tropy#date,2025-04-22T12:18:25.149Z,
100,101,http://www.w3.org/2001/XMLSchema#string,hands1_thesaurus_artificiosa,
101,102,https://tropy.org/v1/tropy#date,2025-03-19T15:39:18.652Z,
102,103,http://www.w3.org/2001/XMLSchema#string,hands2_thesaurus_artificiosa,
103,104,https://tropy.org/v1/tropy#date,2025-03-19T15:39:27.903Z,
104,105,http://www.w3.org/2001/XMLSchema#string,hands3_thesaurus_artificiosa,
105,106,https://tropy.org/v1/tropy#date,2025-03-19T15:39:35.918Z,
106,107,http://www.w3.org/2001/XMLSchema#string,hands4_thesaurus_artificiosa,
107,108,https://tropy.org/v1/tropy#date,2025-03-19T15:39:43.214Z,
108,109,http://www.w3.org/2001/XMLSchema#string,hands5_thesaurus_artificiosa,
109,110,https://tropy.org/v1/tropy#date,2025-03-19T15:39:51.762Z,
110,111,http://www.w3.org/2001/XMLSchema#string,knight_logica_memorativa,
111,112,https://tropy.org/v1/tropy#date,2025-04-03T14:40:31.022Z,
112,113,http://www.w3.org/2001/XMLSchema#string,knight_logica_memorativa_vg,
113,114,https://tropy.org/v1/tropy#date,2025-04-18T09:41:43.871Z,
114,115,http://www.w3.org/2001/XMLSchema#string,lagado_machine,
115,116,https://tropy.org/v1/tropy#date,2025-04-22T08:11:02.207Z,
116,117,http://www.w3.org/2001/XMLSchema#string,letters_ab_unterweysung,
117,118,https://tropy.org/v1/tropy#date,2025-04-11T12:28:06.303Z,
118,119,http://www.w3.org/2001/XMLSchema#string,letters_ef_unterweysung,
119,120,https://tropy.org/v1/tropy#date,2025-04-11T12:29:07.720Z,
120,121,http://www.w3.org/2001/XMLSchema#string,letters_mn_unterweysung,
121,122,https://tropy.org/v1/tropy#date,2025-04-11T12:27:18.464Z,
122,123,http://www.w3.org/2001/XMLSchema#string,letters_qr_unterweysung,
123,124,https://tropy.org/v1/tropy#date,2025-04-11T12:28:34.134Z,
124,125,http://www.w3.org/2001/XMLSchema#string,letters_xy_unterweysung,
125,126,https://tropy.org/v1/tropy#date,2025-04-11T12:28:57.155Z,
126,127,http://www.w3.org/2001/XMLSchema#string,line_spacer_hieroglyphica,
127,128,https://tropy.org/v1/tropy#date,2025-03-19T15:10:57.471Z,
128,129,http://www.w3.org/2001/XMLSchema#string,line_spacer_hieroglyphica_vg,
129,130,https://tropy.org/v1/tropy#date,2025-03-19T15:11:38.651Z,
130,131,http://www.w3.org/2001/XMLSchema#string,lion_hieroglyphica,
131,132,https://tropy.org/v1/tropy#date,2025-03-19T15:12:59.258Z,
132,133,http://www.w3.org/2001/XMLSchema#string,lute_left,
133,134,https://tropy.org/v1/tropy#date,2025-04-22T08:11:02.215Z,
134,135,http://www.w3.org/2001/XMLSchema#string,magic_lantern_ars_magna_lucis,
135,136,https://tropy.org/v1/tropy#date,1742401609000.0,
136,137,http://www.w3.org/2001/XMLSchema#string,magic_lantern_ars_magna_lucis_vg,
137,138,https://tropy.org/v1/tropy#date,2025-04-22T11:54:20.839Z,
138,139,http://www.w3.org/2001/XMLSchema#string,magic_lantern_ars_magna_lucis_white,
139,140,https://tropy.org/v1/tropy#date,2025-04-22T11:55:22.043Z,
140,141,http://www.w3.org/2001/XMLSchema#string,man_screaming_hieroglyphica,
141,142,https://tropy.org/v1/tropy#date,2025-03-19T15:20:19.108Z,
142,143,http://www.w3.org/2001/XMLSchema#string,meiser_hermes_swords,
143,144,https://tropy.org/v1/tropy#date,2025-04-16T07:22:44.031Z,
144,145,http://www.w3.org/2001/XMLSchema#string,metamorfosi_metallico_Q,
145,146,https://tropy.org/v1/tropy#date,2025-04-16T06:57:35.643Z,
146,147,http://www.w3.org/2001/XMLSchema#string,metamorfosi_metallico_chimera,
147,148,https://tropy.org/v1/tropy#date,2025-04-16T06:59:03.476Z,
148,149,http://www.w3.org/2001/XMLSchema#string,metamorfosi_metallico_chimera_vg,
149,150,https://tropy.org/v1/tropy#date,2025-04-22T12:20:24.304Z,
150,151,http://www.w3.org/2001/XMLSchema#string,metamorfosi_metallico_chimera_white,
151,152,https://tropy.org/v1/tropy#date,2025-04-22T12:21:29.502Z,
152,153,http://www.w3.org/2001/XMLSchema#string,metamorfosi_metallico_emblem_grasshopper,
153,154,https://tropy.org/v1/tropy#date,2025-04-16T06:57:00.715Z,
154,155,http://www.w3.org/2001/XMLSchema#string,mnemonic_icons1_dialogo_accrescere_memoria,
155,156,https://tropy.org/v1/tropy#date,2025-03-19T15:34:07.247Z,
156,157,http://www.w3.org/2001/XMLSchema#string,mnemonic_icons2_dialogo_accrescere_memoria,
157,158,https://tropy.org/v1/tropy#date,2025-03-19T15:34:16.671Z,
158,159,http://www.w3.org/2001/XMLSchema#string,mnemonic_icons3_dialogo_accrescere_memoria,
159,160,https://tropy.org/v1/tropy#date,2025-03-19T15:34:26.843Z,
160,161,http://www.w3.org/2001/XMLSchema#string,mnemonic_objects_dialogo_accrescere_memoria,
161,162,https://tropy.org/v1/tropy#date,2025-03-19T15:33:33.092Z,
162,163,http://www.w3.org/2001/XMLSchema#string,moon_phases_ars_magna_lucis,
163,164,https://tropy.org/v1/tropy#date,1742401518000.0,
164,165,http://www.w3.org/2001/XMLSchema#string,obelisk_hieroglyphica,
165,166,https://tropy.org/v1/tropy#date,2025-03-19T15:19:00.101Z,
