,tag_id,id,created
0,1,1,2025-04-28 12:06:39
1,2,1,2025-04-28 12:07:18
2,16,3,2025-04-29 10:34:18
3,17,3,2025-04-29 10:34:23
4,18,3,2025-04-29 10:36:29
5,3,5,2025-04-28 12:14:11
6,4,5,2025-04-28 12:14:37
7,5,5,2025-04-28 12:17:10
8,6,5,2025-04-28 12:17:12
9,7,5,2025-04-28 12:17:16
10,19,7,2025-04-29 10:37:46
11,20,7,2025-04-29 10:37:49
12,21,7,2025-04-29 10:37:51
13,1,9,2025-04-28 12:23:16
14,2,9,2025-04-28 12:23:19
15,8,9,2025-04-28 12:23:42
16,9,9,2025-04-28 12:24:13
17,10,9,2025-04-28 12:24:23
18,22,9,2025-04-29 10:38:09
19,11,15,2025-04-28 12:25:39
20,12,15,2025-04-28 12:25:44
21,23,15,2025-04-29 10:38:48
22,24,15,2025-04-29 10:38:51
23,25,19,2025-04-29 10:39:06
24,33,21,2025-05-05 06:51:28
25,26,27,2025-04-29 10:40:18
26,27,27,2025-04-29 10:40:21
27,28,27,2025-04-29 10:40:31
28,26,31,2025-04-29 10:40:46
29,27,31,2025-04-29 10:40:43
30,28,31,2025-04-29 10:40:41
31,26,35,2025-05-06 09:56:41
32,27,35,2025-05-06 09:56:46
33,8,77,2025-05-05 06:54:33
34,13,77,2025-05-05 06:54:33
35,14,77,2025-05-05 06:54:33
36,15,77,2025-05-05 06:54:33
37,45,81,2025-05-06 10:34:36
38,50,81,2025-05-06 10:34:41
39,51,81,2025-05-06 10:34:46
40,29,83,2025-04-29 10:41:43
41,30,83,2025-04-29 10:41:47
42,39,83,2025-05-06 10:34:27
43,31,87,2025-04-29 10:42:10
44,32,87,2025-04-29 10:42:14
45,48,101,2025-05-06 10:34:03
46,49,101,2025-05-06 10:34:05
47,10,115,2025-05-06 10:33:21
48,12,115,2025-05-06 10:33:36
49,26,115,2025-05-06 10:33:28
50,46,131,2025-05-06 10:32:48
51,47,131,2025-05-06 10:32:50
52,5,133,2025-05-06 10:32:38
53,6,133,2025-05-06 10:32:34
54,34,135,2025-04-29 13:43:18
55,35,135,2025-04-29 13:43:32
56,36,135,2025-04-29 13:43:36
57,41,141,2025-05-06 10:30:47
58,20,143,2025-05-06 10:31:32
59,21,143,2025-05-06 10:31:36
60,30,143,2025-05-06 10:32:06
61,42,143,2025-05-06 10:31:10
62,43,143,2025-05-06 10:31:15
63,44,143,2025-05-06 10:31:44
64,45,143,2025-05-06 10:32:19
65,39,145,2025-05-06 10:30:04
66,40,145,2025-05-06 10:30:21
67,37,193,2025-05-06 09:55:21
68,38,193,2025-05-06 09:55:24
69,1,264,2025-04-29 13:26:44
70,2,264,2025-04-29 13:26:44
71,19,266,2025-04-29 13:26:44
72,20,266,2025-04-29 13:26:44
73,21,266,2025-04-29 13:26:44
74,1,268,2025-04-29 13:26:45
75,2,268,2025-04-29 13:26:45
76,8,268,2025-04-29 13:26:45
77,9,268,2025-04-29 13:26:45
78,10,268,2025-04-29 13:26:45
79,22,268,2025-04-29 13:26:45
80,16,274,2025-04-29 13:26:45
81,17,274,2025-04-29 13:26:45
82,18,274,2025-04-29 13:26:45
83,25,276,2025-04-29 13:26:45
84,26,284,2025-04-29 13:26:46
85,27,284,2025-04-29 13:26:46
86,28,284,2025-04-29 13:26:46
87,26,288,2025-04-29 13:26:47
88,27,288,2025-04-29 13:26:47
89,28,288,2025-04-29 13:26:47
90,11,326,2025-04-29 13:26:55
91,12,326,2025-04-29 13:26:55
92,23,326,2025-04-29 13:26:55
93,24,326,2025-04-29 13:26:55
94,8,336,2025-04-29 13:26:58
95,13,336,2025-04-29 13:26:58
96,14,336,2025-04-29 13:26:58
97,15,336,2025-04-29 13:26:58
98,29,344,2025-04-29 13:26:59
99,30,344,2025-04-29 13:26:59
100,31,348,2025-04-29 13:26:59
101,32,348,2025-04-29 13:26:59
102,3,428,2025-04-29 13:27:03
103,4,428,2025-04-29 13:27:03
104,5,428,2025-04-29 13:27:03
105,6,428,2025-04-29 13:27:03
106,7,428,2025-04-29 13:27:03
107,1,497,2025-05-06 09:58:13
108,2,497,2025-05-06 09:58:13
109,16,499,2025-05-06 09:58:13
110,17,499,2025-05-06 09:58:13
111,18,499,2025-05-06 09:58:13
112,3,501,2025-05-06 09:58:13
113,4,501,2025-05-06 09:58:13
114,5,501,2025-05-06 09:58:13
115,6,501,2025-05-06 09:58:13
116,7,501,2025-05-06 09:58:13
117,19,503,2025-05-06 09:58:13
118,20,503,2025-05-06 09:58:13
119,21,503,2025-05-06 09:58:13
120,1,505,2025-05-06 09:58:13
121,2,505,2025-05-06 09:58:13
122,8,505,2025-05-06 09:58:13
123,9,505,2025-05-06 09:58:13
124,10,505,2025-05-06 09:58:13
125,22,505,2025-05-06 09:58:13
126,11,509,2025-05-06 09:58:13
127,12,509,2025-05-06 09:58:13
128,23,509,2025-05-06 09:58:13
129,24,509,2025-05-06 09:58:13
130,25,511,2025-05-06 09:58:13
131,33,513,2025-05-06 09:58:13
132,26,517,2025-05-06 09:58:13
133,27,517,2025-05-06 09:58:13
134,28,517,2025-05-06 09:58:13
135,26,520,2025-05-06 09:58:13
136,27,520,2025-05-06 09:58:13
137,28,520,2025-05-06 09:58:13
138,26,523,2025-05-06 09:58:13
139,27,523,2025-05-06 09:58:13
140,8,558,2025-05-06 09:58:14
141,13,558,2025-05-06 09:58:14
142,14,558,2025-05-06 09:58:14
143,15,558,2025-05-06 09:58:14
144,29,564,2025-05-06 09:58:14
145,30,564,2025-05-06 09:58:14
146,31,567,2025-05-06 09:58:14
147,32,567,2025-05-06 09:58:14
148,34,613,2025-05-06 09:58:14
149,35,613,2025-05-06 09:58:14
150,36,613,2025-05-06 09:58:14
151,37,671,2025-05-06 09:58:15
152,38,671,2025-05-06 09:58:15
