category,faam_property,type,value,base_url
metadata,label,string,Austria-Hungary,
metadata,description,string,1867–1918 empire in Central Europe,
metadata,aliases,string,Austro-Hungarian Empire,
metadata,aliases,string,Dual Monarchy,
metadata,aliases,string,Austria Hungary,
metadata,aliases,string,Austria,
metadata,aliases,string,Austro-Hungarian Monarchy,
metadata,aliases,string,Monarchy of Austria-Hungary,
metadata,aliases,string,The Kingdoms and Lands Represented in the Imperial Council and the Lands of the Holy Hungarian Crown of St. Stephen,
metadata,aliases,string,Monarchy of Austria–Hungary,
metadata,aliases,string,Austria-Hungary,
metadata,aliases,string,Austria–Hungary,
metadata,qid,externalid,Q28513,http://wwww.wikidata.org/entity/
metadata,nodegoat_id,id,15997454,
