"Object ID",FAAM-ID,Title,"Editorial annotations - Object ID","Handwritten annotations - Object ID"
15992267,KCA-030902505335,"Gracioso: caprice de concert, op. 21",15992161,15992131
15992267,KCA-030902505335,"Gracioso: caprice de concert, op. 21",15992161,15992116
15992267,KCA-030902505335,"Gracioso: caprice de concert, op. 21",15992212,15992128
15992267,KCA-030902505335,"Gracioso: caprice de concert, op. 21",15992212,15992131
15992267,KCA-030902505335,"Gracioso: caprice de concert, op. 21",15992212,15992116
15992267,KCA-030902505335,"Gracioso: caprice de concert, op. 21",15992105,15992128
15992267,KCA-030902505335,"Gracioso: caprice de concert, op. 21",15992105,15992131
15992267,KCA-030902505335,"Gracioso: caprice de concert, op. 21",15992105,15992116
15992267,KCA-030902505335,"Gracioso: caprice de concert, op. 21",15992223,15992128
15992267,KCA-030902505335,"Gracioso: caprice de concert, op. 21",15992223,15992131
15992267,KCA-030902505335,"Gracioso: caprice de concert, op. 21",15992223,15992116
15992267,KCA-030902505335,"Gracioso: caprice de concert, op. 21",15992107,15992128
15992267,KCA-030902505335,"Gracioso: caprice de concert, op. 21",15992107,15992131
15992267,KCA-030902505335,"Gracioso: caprice de concert, op. 21",15992107,15992116
15992267,KCA-030902505335,"Gracioso: caprice de concert, op. 21",15992152,15992128
15992267,KCA-030902505335,"Gracioso: caprice de concert, op. 21",15992152,15992131
15992267,KCA-030902505335,"Gracioso: caprice de concert, op. 21",15992152,15992116
15992268,KCA-03090250578,"Le songe de l'avenir: valse",15992146,15992107
15992268,KCA-03090250578,"Le songe de l'avenir: valse",16002509,15992107
15992268,KCA-03090250578,"Le songe de l'avenir: valse",15996318,15992107
15992269,KCA-030901824620,"Alma redemptoris",,15992114
15992269,KCA-030901824620,"Alma redemptoris",,15992131
15992270,KCA-030903915962,"Zes Latijnse lofgeVoiceen : 2 en 3 gelijke stemmen",,15992179
15992271,KCA-030903770292,"Zes Latijnse lofgeVoiceen : 2 en 3 gelijke stemmen",,
15992272,KCA-030902404505,"Missa ave Maria: ad duas voces aequales organo comitante",,15992130
15992272,KCA-030902404505,"Missa ave Maria: ad duas voces aequales organo comitante",,15992131
15992272,KCA-030902404505,"Missa ave Maria: ad duas voces aequales organo comitante",,15992201
15992272,KCA-030902404505,"Missa ave Maria: ad duas voces aequales organo comitante",,15992179
15992272,KCA-030902404505,"Missa ave Maria: ad duas voces aequales organo comitante",,15992177
15992272,KCA-030902404505,"Missa ave Maria: ad duas voces aequales organo comitante",,15992127
15992272,KCA-030902404505,"Missa ave Maria: ad duas voces aequales organo comitante",,15992216
15992272,KCA-030902404505,"Missa ave Maria: ad duas voces aequales organo comitante",,15992116
15992273,KCA-030904711568,"Short festival Te Deum : for chorus and orchestra",,15996291
15992273,KCA-030904711568,"Short festival Te Deum : for chorus and orchestra",,15992131
15992273,KCA-030904711568,"Short festival Te Deum : for chorus and orchestra",,15992130
15992274,KCA-030902681235,"Le martyre de Saint Sébastien : mystère en cinq actes",,15992179
15992274,KCA-030902681235,"Le martyre de Saint Sébastien : mystère en cinq actes",,15992153
15992274,KCA-030902681235,"Le martyre de Saint Sébastien : mystère en cinq actes",,15992182
15992275,KCA-030902498960,"Les lettres",,15992182
15992276,KCA-030902499422,"Le chef d'armée = Il condotierro",,15992182
15992277,KCA-030902642195,"Le chef d'armée = Il condotierro",,15992182
15992277,KCA-030902642195,"Le chef d'armée = Il condotierro",,15992201
15992278,KCA-030902582383,Sirotka,15992182,15992201
15992278,KCA-030902582383,Sirotka,15992182,15992105
15992278,KCA-030902582383,Sirotka,15992182,15992203
15992278,KCA-030902582383,Sirotka,15992182,15992204
15992278,KCA-030902582383,Sirotka,15992182,15992214
15992278,KCA-030902582383,Sirotka,15992182,15992207
15992278,KCA-030902582383,Sirotka,15992182,15992223
15992279,KCA-030902700811,"Drie Songs",15992142,15992212
15992279,KCA-030902700811,"Drie Songs",15992142,15992131
15992279,KCA-030902700811,"Drie Songs",15992142,15992130
15992279,KCA-030902700811,"Drie Songs",15992142,15992113
15992279,KCA-030902700811,"Drie Songs",16002509,15992212
15992279,KCA-030902700811,"Drie Songs",16002509,15992131
15992279,KCA-030902700811,"Drie Songs",16002509,15992130
15992279,KCA-030902700811,"Drie Songs",16002509,15992113
15992280,KCA-030902700829,"Drie Songs",,15992113
15992280,KCA-030902700829,"Drie Songs",,15992117
15992280,KCA-030902700829,"Drie Songs",,15992131
15992280,KCA-030902700829,"Drie Songs",,15992153
15992280,KCA-030902700829,"Drie Songs",,15992204
15992281,KCA-030902700712,"O Maria die daar staat : lied voor sopraan of tenor",,15992130
15992281,KCA-030902700712,"O Maria die daar staat : lied voor sopraan of tenor",,15992153
15992281,KCA-030902700712,"O Maria die daar staat : lied voor sopraan of tenor",,15992131
15992281,KCA-030902700712,"O Maria die daar staat : lied voor sopraan of tenor",,15992156
15992281,KCA-030902700712,"O Maria die daar staat : lied voor sopraan of tenor",,15992146
15992281,KCA-030902700712,"O Maria die daar staat : lied voor sopraan of tenor",,15992152
15992281,KCA-030902700712,"O Maria die daar staat : lied voor sopraan of tenor",,15992203
15992281,KCA-030902700712,"O Maria die daar staat : lied voor sopraan of tenor",,15992207
15992281,KCA-030902700712,"O Maria die daar staat : lied voor sopraan of tenor",,15992112
15992282,KCA-030902642138,"Faun und Schäferin: liedercyklus für Gesang und Klavier, op. 2 = Le faune et la bergère: suite pour chant et piano, opus 2",,15992184
15992282,KCA-030902642138,"Faun und Schäferin: liedercyklus für Gesang und Klavier, op. 2 = Le faune et la bergère: suite pour chant et piano, opus 2",,15992114
15992283,KCA-030903772819,"Beatrijs : sinfonisch poema",,15992116
15992283,KCA-030903772819,"Beatrijs : sinfonisch poema",,15992177
15992284,KCA-030903900642,"Beatrijs : sinfonisch poema",,15992173
15992284,KCA-030903900642,"Beatrijs : sinfonisch poema",,15992203
15992284,KCA-030903900642,"Beatrijs : sinfonisch poema",,15992134
15992284,KCA-030903900642,"Beatrijs : sinfonisch poema",,15992116
15992284,KCA-030903900642,"Beatrijs : sinfonisch poema",,15992146
15992285,KCA-030903772801,"Beatrijs : sinfonisch poema",,15992116
15992285,KCA-030903772801,"Beatrijs : sinfonisch poema",,15996291
15992285,KCA-030903772801,"Beatrijs : sinfonisch poema",,15996285
15992285,KCA-030903772801,"Beatrijs : sinfonisch poema",,15992177
15992285,KCA-030903772801,"Beatrijs : sinfonisch poema",,15992131
15992286,KCA-030902499117,"Les sirènes: poème musical pour choeur à 8 voix mixtes, op. 1",,15992131
15992286,KCA-030902499117,"Les sirènes: poème musical pour choeur à 8 voix mixtes, op. 1",,15992201
15992286,KCA-030902499117,"Les sirènes: poème musical pour choeur à 8 voix mixtes, op. 1",,15992156
15992286,KCA-030902499117,"Les sirènes: poème musical pour choeur à 8 voix mixtes, op. 1",,15996285
15992286,KCA-030902499117,"Les sirènes: poème musical pour choeur à 8 voix mixtes, op. 1",,15996291
15992287,KCA-030901779048,"Karel van Gelderland: rol van den hertog",,15992110
15992287,KCA-030901779048,"Karel van Gelderland: rol van den hertog",,15992180
15992287,KCA-030901779048,"Karel van Gelderland: rol van den hertog",,15992179
15992287,KCA-030901779048,"Karel van Gelderland: rol van den hertog",,15992201
15992287,KCA-030901779048,"Karel van Gelderland: rol van den hertog",,15992113
15992287,KCA-030901779048,"Karel van Gelderland: rol van den hertog",,15992117
15992287,KCA-030901779048,"Karel van Gelderland: rol van den hertog",,15992116
15992288,KCA-030902126769,"Alva's intocht",,15996291
15992288,KCA-030902126769,"Alva's intocht",,15992116
15992288,KCA-030902126769,"Alva's intocht",,15996285
15992288,KCA-030902126769,"Alva's intocht",,15992108
15992289,KCA-030902125514,"Allegro con fuoco",,15992201
15992289,KCA-030902125514,"Allegro con fuoco",,15992152
15992289,KCA-030902125514,"Allegro con fuoco",,15992173
15992289,KCA-030902125514,"Allegro con fuoco",,15992116
15992289,KCA-030902125514,"Allegro con fuoco",,15992131
15992289,KCA-030902125514,"Allegro con fuoco",,15992128
15992289,KCA-030902125514,"Allegro con fuoco",,16002595
15992289,KCA-030902125514,"Allegro con fuoco",,15992203
15992290,KCA-030902125688,"Allegro con fuoco",,15992177
15992290,KCA-030902125688,"Allegro con fuoco",,15992131
