"Object ID",FAAM-ID,Title,Permalink,"Holding Institution",Shelfmark,"Related Manifestations","Score format",Keywords,Instrumentation,"Score complexity",Thumbnail,Notes,"Notes - Text","GitHub Image URL"
15992261,KCA-030902639415,"Légende du Doudou",https://anet.be/record/opacdkvc/c:lvd:12957071/N,"Heritage Library Royal Conservatoire Antwerp",MM-DUBP-BAUDO-legende-1,,Parts,"harmony orchestra",flugelhorn,"Lithographic quality",https://faam.laboxix-xx.be/upload/media/KCA-030902639415.gif,,,https://github.com/nicholascornia89/FAAM-dataset/tree/main/raw-images/KCA-030902639415/images/
15992261,KCA-030902639415,"Légende du Doudou",https://anet.be/record/opacdkvc/c:lvd:12957071/N,"Heritage Library Royal Conservatoire Antwerp",MM-DUBP-BAUDO-legende-1,,Parts,"harmony orchestra",horn,"Lithographic quality",https://faam.laboxix-xx.be/upload/media/KCA-030902639415.gif,,,https://github.com/nicholascornia89/FAAM-dataset/tree/main/raw-images/KCA-030902639415/images/
15992261,KCA-030902639415,"Légende du Doudou",https://anet.be/record/opacdkvc/c:lvd:12957071/N,"Heritage Library Royal Conservatoire Antwerp",MM-DUBP-BAUDO-legende-1,,Parts,"harmony orchestra","alto horn","Lithographic quality",https://faam.laboxix-xx.be/upload/media/KCA-030902639415.gif,,,https://github.com/nicholascornia89/FAAM-dataset/tree/main/raw-images/KCA-030902639415/images/
15992261,KCA-030902639415,"Légende du Doudou",https://anet.be/record/opacdkvc/c:lvd:12957071/N,"Heritage Library Royal Conservatoire Antwerp",MM-DUBP-BAUDO-legende-1,,Parts,"harmony orchestra",trombone,"Lithographic quality",https://faam.laboxix-xx.be/upload/media/KCA-030902639415.gif,,,https://github.com/nicholascornia89/FAAM-dataset/tree/main/raw-images/KCA-030902639415/images/
15992261,KCA-030902639415,"Légende du Doudou",https://anet.be/record/opacdkvc/c:lvd:12957071/N,"Heritage Library Royal Conservatoire Antwerp",MM-DUBP-BAUDO-legende-1,,Parts,"harmony orchestra","baritone horn","Lithographic quality",https://faam.laboxix-xx.be/upload/media/KCA-030902639415.gif,,,https://github.com/nicholascornia89/FAAM-dataset/tree/main/raw-images/KCA-030902639415/images/
15992261,KCA-030902639415,"Légende du Doudou",https://anet.be/record/opacdkvc/c:lvd:12957071/N,"Heritage Library Royal Conservatoire Antwerp",MM-DUBP-BAUDO-legende-1,,Parts,"harmony orchestra",tuba,"Lithographic quality",https://faam.laboxix-xx.be/upload/media/KCA-030902639415.gif,,,https://github.com/nicholascornia89/FAAM-dataset/tree/main/raw-images/KCA-030902639415/images/
15992261,KCA-030902639415,"Légende du Doudou",https://anet.be/record/opacdkvc/c:lvd:12957071/N,"Heritage Library Royal Conservatoire Antwerp",MM-DUBP-BAUDO-legende-1,,Parts,"harmony orchestra","double bass","Lithographic quality",https://faam.laboxix-xx.be/upload/media/KCA-030902639415.gif,,,https://github.com/nicholascornia89/FAAM-dataset/tree/main/raw-images/KCA-030902639415/images/
15992261,KCA-030902639415,"Légende du Doudou",https://anet.be/record/opacdkvc/c:lvd:12957071/N,"Heritage Library Royal Conservatoire Antwerp",MM-DUBP-BAUDO-legende-1,,Parts,"harmony orchestra",drum,"Lithographic quality",https://faam.laboxix-xx.be/upload/media/KCA-030902639415.gif,,,https://github.com/nicholascornia89/FAAM-dataset/tree/main/raw-images/KCA-030902639415/images/
15992261,KCA-030902639415,"Légende du Doudou",https://anet.be/record/opacdkvc/c:lvd:12957071/N,"Heritage Library Royal Conservatoire Antwerp",MM-DUBP-BAUDO-legende-1,,Parts,arrangement,"alto saxophone","Lithographic quality",https://faam.laboxix-xx.be/upload/media/KCA-030902639415.gif,,,https://github.com/nicholascornia89/FAAM-dataset/tree/main/raw-images/KCA-030902639415/images/
15992261,KCA-030902639415,"Légende du Doudou",https://anet.be/record/opacdkvc/c:lvd:12957071/N,"Heritage Library Royal Conservatoire Antwerp",MM-DUBP-BAUDO-legende-1,,Parts,arrangement,trumpet,"Lithographic quality",https://faam.laboxix-xx.be/upload/media/KCA-030902639415.gif,,,https://github.com/nicholascornia89/FAAM-dataset/tree/main/raw-images/KCA-030902639415/images/
15992261,KCA-030902639415,"Légende du Doudou",https://anet.be/record/opacdkvc/c:lvd:12957071/N,"Heritage Library Royal Conservatoire Antwerp",MM-DUBP-BAUDO-legende-1,,Parts,arrangement,flugelhorn,"Lithographic quality",https://faam.laboxix-xx.be/upload/media/KCA-030902639415.gif,,,https://github.com/nicholascornia89/FAAM-dataset/tree/main/raw-images/KCA-030902639415/images/
