Name,"Wikidata QID"
motet,Q188285
"music of Turkey",Q1074080
villanella,Q2273147
"piano trio",Q1414262
"piano sonata",Q1546995
"church cantata",Q11499279
lamentation,Q1229479
"violin concerto",Q633441
method,Q2250960
"music of Russia",Q2498201
Magnificat,Q200809
madrigal,Q193217
prelude,Q212148
"music education",Q27908
booklet,Q54820068
"music of France",Q672134
partimento,Q2054960
"music of Belgium",Q2587471
"string quartet",Q11487510
"Royal Conservatoire of Ghent",Q2061988
"folia (follia)",Q1164087
"chamber orchestra",Q2470540
pantomime,Q13409536
counterpoint,Q186393
chanson,Q1062328
sonata,Q131269
canon,Q53831
"chorale prelude",Q302987
"Holy Week",Q131080
duration,Q16038819
psalm,Q12497663
fauxbourdon,Q1328468
Vespers,Q827135
"parody mass",Q1468751
"musical hoax",Q3815189
"musical instrument part",Q19659292
"song cycle",Q893466
"Psalm 95",Q917120
dedication,Q1898184
play,Q25379
"music of Venice",Q1955035
"ad libitum",Q310735
"amateur music-making",Q31836860
"salon music",Q2369761
"period composition",Q125620975
"music of Iran",Q1672398
Hafez,Q6240
"culture of Iran",Q953291
"musical expression",Q6942545
"Gregorian chant",Q26473
serenade,Q215911
pitch,Q118819
"traditional folk music",Q235858
"natural sign",Q747691
"flat sign",Q7001368
"sharp sign",Q2542618
accent,Q424494
"dramatico-musical work",Q58483083
"posthumous work",Q17518461
sextet,Q1944586
octet,Q373712
cavatina,Q41270
"piano cycle",Q1746056
"keyboard concerto",Q222910
"compilation album",Q876812
capriccio,Q212148
"harpsichord concerto",Q178122
aria,Q5185279
poem,Q836571
fantasia,Q270827
solo,Q599510
"violin sonata",Q11487510
ricercar,Q200809
"Marian hymn",Q15079786
Musikdrama,Q279272
"opera buffa",Q208080
zarzuela,Q148163
"opéra bouffe",Q3084465
intermezzo,Q781470
ballet,Q41425
song,Q7366
"French opera",Q662073
"opéra comique",Q785479
melologue,Q741702
operetta,Q170384
opéra-ballet,Q1084127
musical,Q2743
"variety show",Q336181
singspiel,Q377258
"comic opera",Q13220650
opera,Q1344
revue,Q918727
mass,Q217295
"form of creative work",Q110452794
"Cecilian Movement",Q1149943
impression,Q115640974
reference,Q121769
"chamber music",Q189201
"Aladdin and the Wonderful Lamp",Q209515
female,Q6581072
male,Q6581097
timbre,Q176501
beat,Q654693
"time signature",Q155234
tempo,Q17573278
dynamic,Q113558
loudness,Q622324
transliteration,Q134550
translation,Q7553
"musical improvisation",Q1049625
accidental,Q816335
ornament,Q739589
affect,Q159904
"musical technique",Q109659725
articulation,Q372923
"music theory",Q193544
measurement,Q12453
"numerical digit",Q82990
"musical-structural concept",Q116748678
glyph,Q36975
"musical notation",Q233861
"musical concept",Q115211517
"aspect of sound",Q17587776
"sound concept",Q115927938
"programme music",Q209741
"One Thousand and One Nights",Q8258
"Aladdin and the Wonderful Lamp",Q209515
fairy,Q8028
fantasy,Q132311
"vocal pedagogy",Q1516257
recitative,Q202534
"basso continuo",Q724321
"piano four hands",Q227484
fugue,Q181014
"Venetian polychoral style",Q2140842
"realization of figured bass",Q96401348
"epic poem",Q37484
Odyssey,Q35160
cadenza,Q1069389
virtuoso,Q214970
villanella,Q2273147
"Lamentations of Jeremiah the Prophet",Q602859
responsory,Q604748
ricercar,Q746743
"Psalm 51",Q1349033
"Penitential Psalms",Q770987
"music for the Requiem Mass",Q6941842
forgery,Q1332286
polyphony,Q179465
canzonetta,Q1034045
medievalism,Q12348939
romance,Q599510
potpourri,Q1200012
"string quartet",Q11487510
minuet,Q205734
madrigal,Q193217
neume,Q41867
harmonization,Q5659376
plainsong,Q2707688
pavane,Q180853
intermezzo,Q781470
pastoral,Q1472271
impromptu,Q852027
"music of Spain",Q964987
exoticism,Q368949
"historically informed performance",Q1344860
invention,Q1061398
suite,Q203005
"early music",Q436016
"mise en scène",Q2607241
libretto,Q131084
"vocal music",Q685884
"theme and variations",Q214981
"piano concerto",Q1746028
cadence,Q14088448
rhapsody,Q464769
"organ music",Q116958279
"harp music",Q117288153
"flute music",Q117010119
"guitar music",Q18074899
"cello music",Q110593005
orchestra,Q42998
"clarinet music",Q117012188
"liturgical music",Q935586
"women's chorus",Q1451652
trio,Q29596700
"men's chorus",Q1684352
duet,Q109940
oratorio,Q85477
"piano music",Q110592635
elegy,Q11696539
berceuse,Q202919
toccata,Q140544
"children's music",Q2389651
"collection volume",Q4230425
ballade,Q805130
prelude,Q212148
"string music",Q119142737
march,Q211025
overture,Q202287
"Christmas music",Q1443316
"Concert aria",Q5158512
hymn,Q484692
fantasia,Q836571
"symphonic music",Q3328774
"harmony orchestra",Q105755278
cantata,Q174873
ballet,Q4851628
"wind music",Q28856774
concerto,Q9748
"lyrical drama",Q122459338
"symphonic poem",Q271802
reduction,Q1425997
"dance music",Q316930
waltz,Q8701407
capriccio,Q876812
nocturne,Q194172
song,Q7366
symphony,Q9734
rondo,Q13323
arrangement,Q379755
étude,Q207841
"choral music",Q1076513
solo,Q270827
"music school",Q1021290
"concert hall",Q1060829
"music publishing company",Q1917775
"music organization",Q32178211
human,Q5
