Name,"Form of creative work","Wikidata QID","IMSLP ID","VIAF ID",composer,arranger
"Ave Maria",forgery,Q124315826,"Ave Maria (Arcadelt, Jacob)",,"Jacques Arcadelt","Stephan Lück"
"Ave Maria",forgery,Q124315826,"Ave Maria (Arcadelt, Jacob)",,"Jacques Arcadelt","Johann Gottfried Ferrenberg"
"Ave Maria",forgery,Q124315826,"Ave Maria (Arcadelt, Jacob)",,"Pierre-Louis Dietsch","Henry Clough-Leighter"
"Ave Maria",forgery,Q124315826,"Ave Maria (Arcadelt, Jacob)",,"Pierre-Louis Dietsch","Napoléon Joseph Ney"
"Ave Maria",forgery,Q124315826,"Ave Maria (Arcadelt, Jacob)",,"Pierre-Louis Dietsch","Stephan Lück"
"Ave Maria",forgery,Q124315826,"Ave Maria (Arcadelt, Jacob)",,"Pierre-Louis Dietsch","Johann Gottfried Ferrenberg"
"Missa pro defunctis, IGP 57",mass,Q124310282,"Missa pro defunctis, PdPWV Mis006 (Palestrina, Giovanni Pierluigi da)",293550369,"Giovanni Pierluigi da Palestrina","Johann Gottfried Ferrenberg"
"Missa pro defunctis, IGP 57",mass,Q124310282,"Missa pro defunctis, PdPWV Mis006 (Palestrina, Giovanni Pierluigi da)",293550369,"Giovanni Pierluigi da Palestrina","Johann Matthias Heberle"
"Missa pro defunctis, IGP 57",mass,Q124310282,"Missa pro defunctis, PdPWV Mis006 (Palestrina, Giovanni Pierluigi da)",293550369,"Giovanni Pierluigi da Palestrina","Napoléon Joseph Ney"
"Missa pro defunctis, IGP 57","liturgical music",Q124310282,"Missa pro defunctis, PdPWV Mis006 (Palestrina, Giovanni Pierluigi da)",293550369,"Giovanni Pierluigi da Palestrina","Johann Gottfried Ferrenberg"
"Missa pro defunctis, IGP 57","liturgical music",Q124310282,"Missa pro defunctis, PdPWV Mis006 (Palestrina, Giovanni Pierluigi da)",293550369,"Giovanni Pierluigi da Palestrina","Johann Matthias Heberle"
"Missa pro defunctis, IGP 57","liturgical music",Q124310282,"Missa pro defunctis, PdPWV Mis006 (Palestrina, Giovanni Pierluigi da)",293550369,"Giovanni Pierluigi da Palestrina","Napoléon Joseph Ney"
"Missa pro defunctis, IGP 57","music for the Requiem Mass",Q124310282,"Missa pro defunctis, PdPWV Mis006 (Palestrina, Giovanni Pierluigi da)",293550369,"Giovanni Pierluigi da Palestrina","Johann Gottfried Ferrenberg"
"Missa pro defunctis, IGP 57","music for the Requiem Mass",Q124310282,"Missa pro defunctis, PdPWV Mis006 (Palestrina, Giovanni Pierluigi da)",293550369,"Giovanni Pierluigi da Palestrina","Johann Matthias Heberle"
"Missa pro defunctis, IGP 57","music for the Requiem Mass",Q124310282,"Missa pro defunctis, PdPWV Mis006 (Palestrina, Giovanni Pierluigi da)",293550369,"Giovanni Pierluigi da Palestrina","Napoléon Joseph Ney"
"Passio secundum Mathaeum","church cantata",,,,"Francesco Soriano","Charles Bordes"
"Passio secundum Mathaeum","liturgical music",,,,"Francesco Soriano","Charles Bordes"
"Ego sum panis vivus, IGP 20","liturgical music",,"Ego sum panis vivus, PdPWV Mot182 (Palestrina, Giovanni Pierluigi da)",,"Giovanni Pierluigi da Palestrina","Charles Bordes"
"Ego sum panis vivus, IGP 20","liturgical music",,"Ego sum panis vivus, PdPWV Mot182 (Palestrina, Giovanni Pierluigi da)",,"Giovanni Pierluigi da Palestrina","Franz Espagne"
"Ego sum panis vivus, IGP 20",motet,,"Ego sum panis vivus, PdPWV Mot182 (Palestrina, Giovanni Pierluigi da)",,"Giovanni Pierluigi da Palestrina","Charles Bordes"
"Ego sum panis vivus, IGP 20",motet,,"Ego sum panis vivus, PdPWV Mot182 (Palestrina, Giovanni Pierluigi da)",,"Giovanni Pierluigi da Palestrina","Franz Espagne"
"Verbum caro panem verum, LV 1072",motet,,"Verbum caro panem verum, LV 1072 (Lassus, Orlande de)",,"Orlande de Lassus","Charles Bordes"
"Verbum caro panem verum, LV 1072",motet,,"Verbum caro panem verum, LV 1072 (Lassus, Orlande de)",,"Orlande de Lassus","Franz Xaver Haberl"
"Verbum caro panem verum, LV 1072","liturgical music",,"Verbum caro panem verum, LV 1072 (Lassus, Orlande de)",,"Orlande de Lassus","Charles Bordes"
"Verbum caro panem verum, LV 1072","liturgical music",,"Verbum caro panem verum, LV 1072 (Lassus, Orlande de)",,"Orlande de Lassus","Franz Xaver Haberl"
"Pie Jesu domine",motet,,,,"Felice Anerio","Charles Bordes"
"Pie Jesu domine","liturgical music",,,,"Felice Anerio","Charles Bordes"
"Dum aurora finem daret, IGP 18",motet,,,,"Giovanni Pierluigi da Palestrina","Charles Bordes"
"Dum aurora finem daret, IGP 18","liturgical music",,,,"Giovanni Pierluigi da Palestrina","Charles Bordes"
"Ave Virgo Sanctissima",motet,,,,"Francisco Guerrero","Charles Bordes"
"Ave Virgo Sanctissima","liturgical music",,,,"Francisco Guerrero","Charles Bordes"
"Alma redemptoris","choral music",,,,"Peter Benoit",
"Alma redemptoris",hymn,,,,"Peter Benoit",
"Alma redemptoris","liturgical music",,,,"Peter Benoit",
"Alma redemptoris","period composition",,,,"Peter Benoit",
"O bone Jesu","liturgical music",,,,"Philippe de Monte","Jules Van Nuffel"
"O bone Jesu",motet,,,,"Philippe de Monte","Jules Van Nuffel"
"Pianoforte-Schule, Op.500",method,,"Pianoforte-Schule, Op.500 (Czerny, Carl)",,"Carl Czerny",
"Pianoforte-Schule, Op.500","music education",,"Pianoforte-Schule, Op.500 (Czerny, Carl)",,"Carl Czerny",
"Miserere, IGA 2",motet,Q1576091,"Miserere (Allegri, Gregorio)",185080354,"Gregorio Allegri","Napoléon Joseph Ney"
"Miserere, IGA 2",motet,Q1576091,"Miserere (Allegri, Gregorio)",185080354,"Gregorio Allegri","Frank Damrosch"
