"Object ID",FAAM-ID,Title,"Musical Works - Object ID","[Agent] Agent - Object ID","[Agent] Role - Object ID","[Agent] Date Start","[Agent] Location Reference - Object ID","[Organisation] Organisation - Object ID","[Organisation] Date Start","[Organisation] Role - Object ID","[Organisation] Location Reference - Object ID"
15992268,KCA-03090250578,"Le songe de l'avenir: valse",,15996205,15990792,,,,,,
15992268,KCA-03090250578,"Le songe de l'avenir: valse",,16002634,15990789,,,,,,
15992269,KCA-030901824620,"Alma redemptoris",16002569,16002143,15996312,,5474,,,,
15992269,KCA-030901824620,"Alma redemptoris",16002569,15996062,15990789,,,,,,
15992269,KCA-030901824620,"Alma redemptoris",16002569,15996205,15990792,,,,,,
15992270,KCA-030903915962,"Zes Latijnse lofgeVoiceen : 2 en 3 gelijke stemmen",,16002570,15990789,,,,,,
15992271,KCA-030903770292,"Zes Latijnse lofgeVoiceen : 2 en 3 gelijke stemmen",16002571,16002572,15996312,1930,86095,,,,
15992271,KCA-030903770292,"Zes Latijnse lofgeVoiceen : 2 en 3 gelijke stemmen",16002571,16002570,15990789,,,,,,
15992272,KCA-030902404505,"Missa ave Maria: ad duas voces aequales organo comitante",,15996015,15990789,1916,,,,,
15992273,KCA-030904711568,"Short festival Te Deum : for chorus and orchestra",16002574,15996205,15990793,,,,,,
15992273,KCA-030904711568,"Short festival Te Deum : for chorus and orchestra",16002574,15996207,15996312,1920,54016,,,,
15992273,KCA-030904711568,"Short festival Te Deum : for chorus and orchestra",16002574,16002573,15990789,,,,,,
15992274,KCA-030902681235,"Le martyre de Saint Sébastien : mystère en cinq actes",16002575,16002577,15996288,,,,,,
15992274,KCA-030902681235,"Le martyre de Saint Sébastien : mystère en cinq actes",16002575,16002576,15996288,,,,,,
15992274,KCA-030902681235,"Le martyre de Saint Sébastien : mystère en cinq actes",16002575,15996102,15990789,,,,,,
15992275,KCA-030902498960,"Les lettres",16002578,15996231,15996312,1892,47086,,,,
15992275,KCA-030902498960,"Les lettres",16002578,15996205,15996288,,,,,,
15992275,KCA-030902498960,"Les lettres",16002578,16002360,15990789,,,,,,
15992276,KCA-030902499422,"Le chef d'armée = Il condotierro",16002581,16002583,15990789,,,,,,
15992276,KCA-030902499422,"Le chef d'armée = Il condotierro",16002581,16002582,15996312,,47086,,,,
