"Object ID",Name,Aliases,"Wikidata QID","instance of - Object ID","role - Object ID","related to - Object ID","occupation - Object ID","VIAF ID","RISM ID","IMSLP ID",image,"sex or gender - Object ID","country of citizenship - Object ID","place of birth - Object ID","place of death - Object ID","date of birth","date of death","instrument - Object ID","student of - Object ID","educated at - Object ID","employer - Object ID"
16005762,"Charles Laffillé",Apetit,Q2959544,15990586,15996312,,,,,,,,,,,,,,,,
16005760,"Janin frères",,Q135438061,15990586,15996312,15996316,,,,,,,,,,,,,,,
16005759,"Composer's Music Corporation",,Q126963009,15990586,15996312,,,,,,,,,,,,,,,,
16005758,Dogilbert,"François Dogilbert",Q135437939,15990586,15996312,,,,,,,,,,,,,,,,
15996301,"Jeanne Dalliès",,Q124634760,15990584,15990790,,15990864,,,,,15992803,15997632,,,,,15990796,,15996300,
15996301,"Jeanne Dalliès",,Q124634760,15990584,15990790,,15990858,,,,,15992803,15997632,,,,,15990796,,15996300,
15996182,"Amédée Gastoué",,Q482177,,,,,100162406,people/30064669,"Category:Gastoué,_Amédée",,15992244,16002145,,,1873-03-13,1943-06-01,,,,15991105
15996182,"Amédée Gastoué",,Q482177,,,,,100162406,people/30064669,"Category:Gastoué,_Amédée",,15992244,16002145,,,1873-03-13,1943-06-01,,,,15991106
15996182,"Amédée Gastoué",,Q482177,,,,,100162406,people/30064669,"Category:Gastoué,_Amédée",,15992244,16002145,,,1873-03-13,1943-06-01,,,,15991107
15996182,"Amédée Gastoué",,Q482177,,,,,100162406,people/30064669,"Category:Gastoué,_Amédée",,15992244,16002145,,,1873-03-13,1943-06-01,,,,15991109
15996182,"Amédée Gastoué",,Q482177,,,,,100162406,people/30064669,"Category:Gastoué,_Amédée",,15992244,16002145,,,1873-03-13,1943-06-01,,,,15991110
15996182,"Amédée Gastoué",,Q482177,,,,,100162406,people/30064669,"Category:Gastoué,_Amédée",,15992244,16002145,,,1873-03-13,1943-06-01,,,,15996300
15996111,"Edgard Varèse",,Q57247,,,,,59271121,people/30015668,"Category:Varèse,_Edgard",https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/Edgar_Varèse_-_John_French_Sloan.jpg,15992244,16002145,,,1883-12-22,1965-11-06,,,15991022,
15996111,"Edgard Varèse",,Q57247,,,,,59271121,people/30015668,"Category:Varèse,_Edgard",https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/Edgar_Varèse_-_John_French_Sloan.jpg,15992244,16002145,,,1883-12-22,1965-11-06,,,15996300,
16005754,"Fernand Lauweryns",,Q135437708,15990584,15996312,15990650,,,,,,,,,,,,,,,
16005754,"Fernand Lauweryns",,Q135437708,15990586,15996312,15990650,,,,,,,,,,,,,,,
16005753,"Romualdo Fantuzzi",,Q102075856,15990584,15996312,15990650,,,,,,,,,,,,,,,
16005753,"Romualdo Fantuzzi",,Q102075856,15990586,15996312,15990650,,,,,,,,,,,,,,,
16005751,"Georges-Julien Sieber",,Q55673660,15990584,15996312,15996280,,,,,,,,,,,,,,,
16005751,"Georges-Julien Sieber",,Q55673660,15990584,15996312,16002523,,,,,,,,,,,,,,,
16005751,"Georges-Julien Sieber",,Q55673660,15990586,15996312,15996280,,,,,,,,,,,,,,,
16005751,"Georges-Julien Sieber",,Q55673660,15990586,15996312,16002523,,,,,,,,,,,,,,,
16005749,"Friedrich Hofmeister",,Q1459777,15990584,15996312,15996280,,,,,,,,,,,,,,,
16005749,"Friedrich Hofmeister",,Q1459777,15990584,15996312,15990592,,,,,,,,,,,,,,,
16005749,"Friedrich Hofmeister",,Q1459777,15990584,15996312,16002523,,,,,,,,,,,,,,,
16005749,"Friedrich Hofmeister",,Q1459777,15990586,15996312,15996280,,,,,,,,,,,,,,,
16005749,"Friedrich Hofmeister",,Q1459777,15990586,15996312,15990592,,,,,,,,,,,,,,,
16005749,"Friedrich Hofmeister",,Q1459777,15990586,15996312,16002523,,,,,,,,,,,,,,,
16005747,"Benoît Pollet",,Q2896623,15990584,15996312,16002523,,,,,,,,,,,,,,,
16005747,"Benoît Pollet",,Q2896623,15990584,15996312,15990592,,,,,,,,,,,,,,,
16005747,"Benoît Pollet",,Q2896623,15990586,15996312,16002523,,,,,,,,,,,,,,,
16005747,"Benoît Pollet",,Q2896623,15990586,15996312,15990592,,,,,,,,,,,,,,,
16005745,"Edouard Bélanger",,Q135432610,15990584,15996288,15990668,,,,,,,,,,,,,,,
16005743,"Émile Delay","E. Delay",Q135432538,15990584,15996312,16002523,,,,,,,,,,,,,,,
16005743,"Émile Delay","E. Delay",Q135432538,15990584,15996312,15990592,,,,,,,,,,,,,,,
15995690,"Joseph Tilborghs",,Q47523340,,,,,11148120738894791974,,,,15992244,,,,1830-09-28,1910-02-27,,16005741,,
16005741,"François-Joseph Fétis",,Q523581,15990584,,15998762,,,,,https://upload.wikimedia.org/wikipedia/commons/2/20/Francois_joseph_fetis.jpg,,,,,,,,,,
16005741,"François-Joseph Fétis",,Q523581,15990584,,16004316,,,,,https://upload.wikimedia.org/wikipedia/commons/2/20/Francois_joseph_fetis.jpg,,,,,,,,,,
16005741,"François-Joseph Fétis",,Q523581,15990584,,15990650,,,,,https://upload.wikimedia.org/wikipedia/commons/2/20/Francois_joseph_fetis.jpg,,,,,,,,,,
16005740,"Louis-François Dauprat",,Q56649,15990584,,15990606,,,,"Category:Dauprat,_Louis-François",https://upload.wikimedia.org/wikipedia/commons/3/3a/Louis-Fran%C3%A7ois_Dauprat.jpg,,,,,,,,,,
16005739,"Jean Auguste Blangy",,Q55677382,15990584,,15990606,,,,,,,,,,,,,,,
16005737,"Jean-Blaise Martin",,Q1439556,15990584,15990792,15998739,,,,,,,,,,,,,,,
16005737,"Jean-Blaise Martin",,Q1439556,15990584,15990792,15990592,,,,,,,,,,,,,,,
16005737,"Jean-Blaise Martin",,Q1439556,15990584,15990792,16002523,,,,,,,,,,,,,,,
16005736,"Sophie Gay",,Q273200,15990584,15996288,16002523,,,,,,,,,,,,,,,
16005736,"Sophie Gay",,Q273200,15990584,15996288,15990592,,,,,,,,,,,,,,,
