category,faam_property,type,value,base_url
metadata,label,string,music education,
metadata,description,string,field of study associated with the teaching and learning of music,
metadata,aliases,string,music pedagogy,
metadata,aliases,string,music instruction and study,
metadata,aliases,string,music instruction,
metadata,aliases,string,music study,
metadata,aliases,string,musical education,
metadata,aliases,string,musical instruction,
metadata,aliases,string,music study and teaching,
metadata,aliases,string,music teaching,
metadata,aliases,string,music education,
metadata,qid,externalid,Q27908,http://wwww.wikidata.org/entity/
metadata,nodegoat_id,id,16004316,
