category,faam_property,type,value,base_url
metadata,label,string,waltz,
metadata,description,string,"music genre and type of musical composition, performed in triple meter, often written in ¾ time",
metadata,aliases,string,valse,
metadata,aliases,string,walzer,
metadata,aliases,string,classical waltz,
metadata,aliases,string,waltz music,
metadata,aliases,string,vals,
metadata,aliases,string,waltz,
metadata,qid,externalid,Q8701407,http://wwww.wikidata.org/entity/
metadata,nodegoat_id,id,15990598,
