category,faam_property,type,value,base_url
metadata,label,string,music for the Requiem Mass,
metadata,description,string,musical setting of the Requiem Mass,
metadata,aliases,string,funeral mass,
metadata,aliases,string,mass for the dead,
metadata,aliases,string,mass of the dead,
metadata,aliases,string,missa defunctorum,
metadata,aliases,string,missa pro defunctis,
metadata,aliases,string,missa pro mortuis,
metadata,aliases,string,requiem,
metadata,aliases,string,requiem mass,
metadata,aliases,string,requiem setting,
metadata,aliases,string,music for the Requiem Mass,
metadata,qid,externalid,Q6941842,http://wwww.wikidata.org/entity/
metadata,nodegoat_id,id,15990673,
