,list_id,name,parent_list_id,position,created,modified
0,0,ROOT,,,2017-01-31 12:00:00,2017-01-31 12:00:00
1,1,WOIS-figures,0.0,1.0,2025-04-28 07:46:48,2025-04-28 07:46:48
