category,faam_property,type,value,base_url
metadata,label,string,university teacher,
metadata,label,string,university teacher,
metadata,description,string,person teaching at a university or college,
metadata,nodegoat_id,id,15990868,
metadata,qid,externalid,Q1622272,http://wwww.wikidata.org/entity/
metadata,aliases,string,college lecturer,
metadata,aliases,string,university lecturer,
metadata,aliases,string,university tutor,
metadata,aliases,string,college teacher,
metadata,aliases,string,teaching-focused lecturer,
metadata,aliases,string,university professor,
metadata,aliases,string,college professor,
metadata,aliases,string,university teacher,
