category,faam_property,type,value,base_url
metadata,label,string,continuo group,
metadata,label,string,continuo group,
metadata,description,string,"one or more instruments that improvise an accompaniment from a written bass line, typical in baroque music",
metadata,id,id,3Sa6bp7X,
metadata,nodegoat_id,id,15990854,
metadata,qid,externalid,Q114237252,http://wwww.wikidata.org/entity/
metadata,aliases,string,continuo,
metadata,aliases,string,basso continuo,
metadata,aliases,string,Generalbass,
metadata,aliases,string,thoroughbass,
metadata,aliases,string,continuo performer,
metadata,aliases,string,continuo group,
