category,faam_property,type,value,base_url
metadata,label,string,recorder,
metadata,label,string,recorder,
metadata,description,string,woodwind musical instrument,
metadata,nodegoat_id,id,15990817,
metadata,qid,externalid,Q187851,http://wwww.wikidata.org/entity/
metadata,aliases,string,beak flute,
metadata,aliases,string,block flute,
metadata,aliases,string,English flute,
metadata,aliases,string,flutaphone,
metadata,aliases,string,basset recorder,
metadata,aliases,string,Blockflöte,
metadata,aliases,string,common flute,
metadata,aliases,string,flauto dolce,
metadata,aliases,string,subcontrabass recorder,
metadata,aliases,string,recorder,
