category,faam_property,type,value,base_url
metadata,label,string,song,
metadata,label,string,song,
metadata,description,string,musical composition for voice(s),
metadata,id,id,HwinuQRS,
metadata,nodegoat_id,id,15990595,
metadata,qid,externalid,Q7366,http://wwww.wikidata.org/entity/
metadata,aliases,string,songs,
metadata,aliases,string,piece of vocal music,
metadata,aliases,string,vocal pieces,
metadata,aliases,string,pieces of vocal music,
metadata,aliases,string,vocal piece,
metadata,aliases,string,song,
