category,faam_property,type,value,base_url
metadata,label,string,wind music,
metadata,label,string,wind music,
metadata,description,string,"music written for wind instruments, including brass or woodwinds",
metadata,id,id,gccDhEBK,
metadata,nodegoat_id,id,15990606,
metadata,qid,externalid,Q28856774,http://wwww.wikidata.org/entity/
metadata,aliases,string,wind ensemble music,
metadata,aliases,string,wind instrument music,
metadata,aliases,string,wind band music,
metadata,aliases,string,brass music,
metadata,aliases,string,brass instrument music,
metadata,aliases,string,brasswind music,
metadata,aliases,string,woodwind music,
metadata,aliases,string,brass & woodwinds,
metadata,aliases,string,wind music,
