category,faam_property,type,value,base_url
metadata,label,string,Columbus,
metadata,label,string,Columbus,
metadata,description,string,"capital city of Ohio, United States of America",
metadata,id,id,RxFqkcGR,
metadata,nodegoat_id,id,115728,
metadata,qid,externalid,Q16567,http://wwww.wikidata.org/entity/
metadata,aliases,string,Columbus,
metadata,aliases,string,"Columbus, Ohio",
metadata,aliases,string,The Discovery City,
metadata,aliases,string,Arch City,
metadata,aliases,string,Indie Art Capital,
metadata,aliases,string,Cowtown,
metadata,aliases,string,The Biggest Small Town in America,
metadata,aliases,string,Cbus,
metadata,aliases,string,"Columbus, OH",
statements,GeoNames ID,externalid,4509177,https://www.geonames.org/
statements,GeoNames ID,externalid,US,https://www.geonames.org/
