category,faam_property,type,value,base_url
metadata,label,string,Western concert flute,
metadata,label,string,western concert flute,
metadata,description,string,transverse woodwind instrument made of metal or wood,
metadata,id,id,Prvg9kzn,
metadata,nodegoat_id,id,15990822,
metadata,qid,externalid,Q209554,http://wwww.wikidata.org/entity/
metadata,aliases,string,concert flute,
metadata,aliases,string,orchestral flute,
metadata,aliases,string,Boehm flute,
metadata,aliases,string,C flute,
metadata,aliases,string,flute,
metadata,aliases,string,Western concert flute,
