category,faam_property,type,value,base_url
metadata,label,string,fantasia,
metadata,label,string,fantasia,
metadata,description,string,free form musical interpretation; musical composition with a free form and often an improvisatory style,
metadata,id,id,KvY9ZvU4,
metadata,nodegoat_id,id,15990611,
metadata,qid,externalid,Q836571,http://wwww.wikidata.org/entity/
metadata,aliases,string,fantasy,
metadata,aliases,string,fancy,
metadata,aliases,string,fantazy,
metadata,aliases,string,phantasy,
metadata,aliases,string,fantasia,
