category,faam_property,type,value,base_url
metadata,label,string,music of Iran,
metadata,label,string,music of Iran,
metadata,description,string,music and musical traditions of Iran,
metadata,id,id,kMVP4rDc,
metadata,nodegoat_id,id,16002515,
metadata,qid,externalid,Q1672398,http://wwww.wikidata.org/entity/
metadata,aliases,string,Iranian music,
metadata,aliases,string,Persian music,
metadata,aliases,string,music of Persia,
metadata,aliases,string,Iran music,
metadata,aliases,string,music in Iran,
metadata,aliases,string,music of Iran,
