category,faam_property,type,value,base_url
metadata,label,string,teacher,
metadata,label,string,teacher,
metadata,description,string,"person who helps others to acquire knowledge, competences or values",
metadata,id,id,Wm5MWZbA,
metadata,nodegoat_id,id,15990866,
metadata,qid,externalid,Q37226,http://wwww.wikidata.org/entity/
metadata,aliases,string,schoolmaster,
metadata,aliases,string,schoolmistress,
metadata,aliases,string,educator,
metadata,aliases,string,professor,
metadata,aliases,string,teacher,
