category,faam_property,type,value,base_url
metadata,label,string,Congress Poland,
metadata,label,string,Congress Poland,
metadata,description,string,former state in Eastern Europe (1815–1915),
metadata,nodegoat_id,id,15998049,
metadata,qid,externalid,Q221457,http://wwww.wikidata.org/entity/
metadata,aliases,string,Kingdom of Poland,
metadata,aliases,string,Russian Poland,
metadata,aliases,string,Tsardom of Poland,
metadata,aliases,string,Congress Kingdom of Poland,
metadata,aliases,string,Congress Poland,
