category,faam_property,type,value,base_url
metadata,label,string,Russia,
metadata,label,string,Russia,
metadata,description,string,country in Eastern Europe and Northern Asia,
metadata,id,id,8Hwgz854,
metadata,nodegoat_id,id,15998728,
metadata,qid,externalid,Q159,http://wwww.wikidata.org/entity/
metadata,aliases,string,Russian Federation,
metadata,aliases,string,Federation of Russia,
metadata,aliases,string,Russia,
