category,faam_property,type,value,base_url
metadata,label,string,polyphony,
metadata,label,string,polyphony,
metadata,description,string,"music with multiple, independent melody lines performed simultaneously",
metadata,nodegoat_id,id,15990670,
metadata,qid,externalid,Q179465,http://wwww.wikidata.org/entity/
metadata,aliases,string,polyphonic form,
metadata,aliases,string,polyphonic singing,
metadata,aliases,string,polyphonic chant,
metadata,aliases,string,polyphonic music,
metadata,aliases,string,polyphony,
