category,faam_property,type,value,base_url
metadata,label,string,impression,
metadata,label,string,impression,
metadata,description,string,mark made by an object pressed on the surface of something,
metadata,id,id,ZebjDxyt,
metadata,nodegoat_id,id,15996306,
metadata,qid,externalid,Q115640974,http://wwww.wikidata.org/entity/
metadata,aliases,string,indention,
metadata,aliases,string,mark,
metadata,aliases,string,indentation,
metadata,aliases,string,print,
metadata,aliases,string,imprint,
metadata,aliases,string,impression,
