category,faam_property,type,value,base_url
metadata,label,string,harmonica,
metadata,label,string,harmonica,
metadata,description,string,free reed wind musical instrument,
metadata,id,id,i7RQNEQ5,
metadata,nodegoat_id,id,15990845,
metadata,qid,externalid,Q51290,http://wwww.wikidata.org/entity/
metadata,aliases,string,French harp,
metadata,aliases,string,blues harp,
metadata,aliases,string,mouth organ,
metadata,aliases,string,mouth harp,
metadata,aliases,string,gob iron,
metadata,aliases,string,harp,
metadata,aliases,string,harpoon,
metadata,aliases,string,Louisiana saxophone,
metadata,aliases,string,Mississippi sax,
metadata,aliases,string,Mississippi saxophone,
metadata,aliases,string,mouth harmonica,
metadata,aliases,string,tin sandwich,
metadata,aliases,string,harmonica,
