category,faam_property,type,value,base_url
metadata,label,string,Kingdom of the Netherlands,
metadata,label,string,Kingdom of the Netherlands,
metadata,description,string,transcontinental sovereign state and constitutional monarchy,
metadata,id,id,6ZFENHKx,
metadata,nodegoat_id,id,15998634,
metadata,qid,externalid,Q29999,http://wwww.wikidata.org/entity/
metadata,aliases,string,Netherlands,
metadata,aliases,string,the Netherlands,
metadata,aliases,string,Nederlanden,
metadata,aliases,string,NL,
metadata,aliases,string,Kingdom of the Netherlands,
