category,faam_property,type,value,base_url
metadata,label,string,classical guitar,
metadata,label,string,classical guitar,
metadata,description,string,"acoustic wooden guitar with wide neck, strings made of nylon",
metadata,id,id,2pgcwfpN,
metadata,nodegoat_id,id,15990825,
metadata,qid,externalid,Q719120,http://wwww.wikidata.org/entity/
metadata,aliases,string,concert guitar,
metadata,aliases,string,nylon-string guitar,
metadata,aliases,string,Spanish guitar,
metadata,aliases,string,Modern classical guitar,
metadata,aliases,string,classical guitar,
