category,faam_property,type,value,base_url
metadata,label,string,West Germany,
metadata,label,string,West Germany,
metadata,description,string,Federal Republic of Germany in the period between its formation on 23 May 1949 and German reunification on 3 October 1990,
metadata,nodegoat_id,id,16004410,
metadata,qid,externalid,Q713750,http://wwww.wikidata.org/entity/
metadata,aliases,string,FRG,
metadata,aliases,string,Westdeutschland,
metadata,aliases,string,West-Deutschland,
metadata,aliases,string,BRD,
metadata,aliases,string,BR Dtld.,
metadata,aliases,string,history of West Germany from 1949 to 1990,
metadata,aliases,string,Federal Republic of Germany (1949–1990),
metadata,aliases,string,West Germany,
statements,GeoNames ID,externalid,11612754,https://www.geonames.org/
