category,faam_property,type,value,base_url
metadata,label,string,method,
metadata,label,string,method,
metadata,description,string,music learning book; kind of textbook for a specified musical instrument or a selected problem of playing a certain instrument,
metadata,id,id,MG4DHx65,
metadata,nodegoat_id,id,16004360,
metadata,qid,externalid,Q2250960,http://wwww.wikidata.org/entity/
metadata,aliases,string,tutor,
metadata,aliases,string,instrument method,
metadata,aliases,string,musical instrument method,
metadata,aliases,string,method,
