category,faam_property,type,value,base_url
metadata,label,string,Kingdom of Denmark,
metadata,label,string,Kingdom of Denmark,
metadata,description,string,transcontinental sovereign state and constitutional monarchy,
metadata,id,id,SiJN3Dap,
metadata,nodegoat_id,id,16004223,
metadata,qid,externalid,Q756617,http://wwww.wikidata.org/entity/
metadata,aliases,string,Realm of Denmark,
metadata,aliases,string,Danish Realm,
metadata,aliases,string,Denmark,
metadata,aliases,string,Danmarks Rige,
metadata,aliases,string,Danmarkar Ríki,
metadata,aliases,string,Danmarkip Naalagaaffik,
metadata,aliases,string,Kongeriget Danmark,
metadata,aliases,string,Kongsríki Danmarkar,
metadata,aliases,string,Kunngeqarfik Danmarki,
metadata,aliases,string,Kingdom of Denmark,
