category,faam_property,type,value,base_url
metadata,label,string,Kingdom of Lombardy–Venetia,
metadata,label,string,Kingdom of Lombardy–Venetia,
metadata,description,string,constituent land of the Austrian Empire (1815–1866),
metadata,nodegoat_id,id,15998084,
metadata,qid,externalid,Q209857,http://wwww.wikidata.org/entity/
metadata,aliases,string,Lombardo-Venetian Kingdom,
metadata,aliases,string,Regno Lombardo-Veneto,
metadata,aliases,string,Lombardo-Veneto,
metadata,aliases,string,Königreich Lombardo–Venetien,
metadata,aliases,string,Kingdom of Lombardy–Venetia,
