category,faam_property,type,value,base_url
metadata,label,string,First French Empire,
metadata,label,string,First French Empire,
metadata,description,string,"empire of Napoleon I of France, from 1804 to 1815",
metadata,id,id,92UtkVQZ,
metadata,nodegoat_id,id,15997630,
metadata,qid,externalid,Q71084,http://wwww.wikidata.org/entity/
metadata,aliases,string,Greater French Empire,
metadata,aliases,string,Napoleonic Empire,
metadata,aliases,string,French Empire,
metadata,aliases,string,Napoleonic France,
metadata,aliases,string,French First Empire,
metadata,aliases,string,First French Empire,
