category,faam_property,type,value,base_url
metadata,label,string,auctioneer,
metadata,label,string,precentor,
metadata,description,string,person who runs a sale by auction,
metadata,nodegoat_id,id,15991015,
metadata,qid,externalid,Q2743689,http://wwww.wikidata.org/entity/
metadata,aliases,string,bid caller,
metadata,aliases,string,commissaire priseur,
metadata,aliases,string,auctioneer,
