category,faam_property,type,value,base_url,label
metadata,label,string,Bachkirche Arnstadt,,
metadata,description,string,Protestant church in Germany,,
metadata,aliases,string,Bachkirche Arnstadt,,
metadata,qid,externalid,Q798194,http://wwww.wikidata.org/entity/,
metadata,nodegoat_id,id,15991035,,
statements,place,item,9Tium4Fv,,
statements,country,item,CTNhzr7a,,Germany
