category,faam_property,type,value,base_url
metadata,label,string,United Kingdom,
metadata,description,string,country in north-west Europe,
metadata,aliases,string,United Kingdom of Great Britain and Northern Ireland,
metadata,aliases,string,U K,
metadata,aliases,string,G B,
metadata,aliases,string,Great Britain,
metadata,aliases,string,G B R,
metadata,aliases,string,Great Britain and Northern Ireland,
metadata,aliases,string,The United Kingdom of Great Britain and Northern Ireland,
metadata,aliases,string,The UK,
metadata,aliases,string,United Kingdom,
metadata,qid,externalid,Q145,http://wwww.wikidata.org/entity/
metadata,nodegoat_id,id,15998732,
statements,GeoNames ID,externalid,2635167,https://www.geonames.org/
