category,faam_property,type,value,base_url
metadata,label,string,costume designer,
metadata,label,string,theorist,
metadata,description,string,"person who designs costumes for a film, stage production, or television show",
metadata,id,id,mNEk8EuR,
metadata,nodegoat_id,id,15990905,
metadata,qid,externalid,Q1323191,http://wwww.wikidata.org/entity/
metadata,aliases,string,costumer,
metadata,aliases,string,costume maker,
metadata,aliases,string,costumier,
metadata,aliases,string,costume coordinator,
metadata,aliases,string,Costume Maker,
metadata,aliases,string,costume designer,
