category,faam_property,type,value,base_url
metadata,label,string,academic,
metadata,label,string,aesthetician,
metadata,description,string,person who works as a teacher or researcher at a university or other higher education institution,
metadata,id,id,Yq29seNw,
metadata,nodegoat_id,id,15990976,
metadata,qid,externalid,Q3400985,http://wwww.wikidata.org/entity/
metadata,aliases,string,academics,
metadata,aliases,string,don,
metadata,aliases,string,faculty member,
metadata,aliases,string,academic staff,
metadata,aliases,string,faculty,
metadata,aliases,string,academic personnel,
metadata,aliases,string,member of the faculty,
metadata,aliases,string,academic,
metadata,aliases,string,faculty staff,
metadata,aliases,string,academic,
