category,faam_property,type,value,base_url
metadata,label,string,cymbal,
metadata,label,string,cymbal,
metadata,description,string,unpitched percussion instrument,
metadata,id,id,VmGgcspg,
metadata,nodegoat_id,id,15990849,
metadata,qid,externalid,Q190172,http://wwww.wikidata.org/entity/
metadata,aliases,string,cymbals,
metadata,aliases,string,cymbal,
