category,faam_property,type,value,base_url
metadata,label,string,Weimar Republic,
metadata,description,string,Germany in the years 1918/1919–1933,
metadata,aliases,string,German Reich,
metadata,aliases,string,Weimar Germany,
metadata,aliases,string,Germany,
metadata,aliases,string,German Republic,
metadata,aliases,string,Republic of Germany,
metadata,aliases,string,German People's State,
metadata,aliases,string,Weimar Republic,
metadata,qid,externalid,Q41304,http://wwww.wikidata.org/entity/
metadata,nodegoat_id,id,15997439,
