category,faam_property,type,value,base_url
metadata,label,string,opera buffa,
metadata,label,string,opera buffa,
metadata,description,string,Italian opera genre,
metadata,id,id,JxuLLR4E,
metadata,nodegoat_id,id,15998754,
metadata,qid,externalid,Q208080,http://wwww.wikidata.org/entity/
metadata,aliases,string,commedia per musica,
metadata,aliases,string,dramma giocoso per musica,
metadata,aliases,string,Italian comic opera,
metadata,aliases,string,Italian light opera,
metadata,aliases,string,opera buffa,
