category,faam_property,type,value,base_url
metadata,label,string,Salt Lake City,
metadata,label,string,Salt Lake City,
metadata,description,string,"city in and county seat of Salt Lake County, Utah, United States and the capital of Utah",
metadata,id,id,43ewoh6y,
metadata,nodegoat_id,id,126640,
metadata,qid,externalid,Q23337,http://wwww.wikidata.org/entity/
metadata,aliases,string,Salt Lake City,
metadata,aliases,string,Salt Lake,
metadata,aliases,string,SLC,
metadata,aliases,string,"Salt Lake City, Utah",
metadata,aliases,string,"Salt Lake City, UT",
statements,GeoNames ID,externalid,5780993,https://www.geonames.org/
statements,GeoNames ID,externalid,US,https://www.geonames.org/
