category,faam_property,type,value,base_url
metadata,label,string,female,
metadata,label,string,female,
metadata,description,string,"to be used in ""sex or gender"" (P21) to indicate that the human subject is a female or ""semantic gender"" (P10339) to indicate that a word refers to a female person",
metadata,id,id,ge9ACHGn,
metadata,nodegoat_id,id,15992803,
metadata,qid,externalid,Q6581072,http://wwww.wikidata.org/entity/
metadata,aliases,string,woman,
metadata,aliases,string,human female,
metadata,aliases,string,female person,
metadata,aliases,string,lady,
metadata,aliases,string,female human,
metadata,aliases,string,fairer sex,
metadata,aliases,string,female gender,
metadata,aliases,string,fem,
metadata,aliases,string,f,
metadata,aliases,string,women,
metadata,aliases,string,girl,
metadata,aliases,string,girls,
metadata,aliases,string,female character,
metadata,aliases,string,female,
