category,faam_property,type,value,base_url
metadata,label,string,concertmaster,
metadata,label,string,concertmaster,
metadata,description,string,profession; leader of the first violin section in an orchestra (or clarinet in a concert band) and the instrument-playing leader of the orchestra,
metadata,id,id,6phaDvy8,
metadata,nodegoat_id,id,15990869,
metadata,qid,externalid,Q691031,http://wwww.wikidata.org/entity/
metadata,aliases,string,principal violin,
metadata,aliases,string,principal violinist,
metadata,aliases,string,first chair,
metadata,aliases,string,leader,
metadata,aliases,string,concertmaster,
