category,faam_property,type,value,base_url
metadata,label,string,flat sign,
metadata,label,string,flat sign,
metadata,description,string,musical sign (accidental) lowering the pitch of a note by one chromatic semitone (factor 2^(1/12)),
metadata,id,id,4NUzNyf2,
metadata,nodegoat_id,id,16002348,
metadata,qid,externalid,Q7001368,http://wwww.wikidata.org/entity/
metadata,aliases,string,♭,
metadata,aliases,string,bemolle,
metadata,aliases,string,♭-sign,
metadata,aliases,string,flat,
metadata,aliases,string,flat sign,
