category,faam_property,type,value,base_url
metadata,label,string,women's chorus,
metadata,label,string,women's chorus,
metadata,description,string,choir consisting of women,
metadata,id,id,9KySpzpx,
metadata,nodegoat_id,id,15990633,
metadata,qid,externalid,Q1451652,http://wwww.wikidata.org/entity/
metadata,aliases,string,women's choir,
metadata,aliases,string,female choir,
metadata,aliases,string,female chorus,
metadata,aliases,string,women's chorus,
