category,faam_property,type,value,base_url
metadata,label,string,Republic of Venice,
metadata,label,string,Republic of Venice,
metadata,description,string,former state in Northeastern Italy (697–1797),
metadata,nodegoat_id,id,16004403,
metadata,qid,externalid,Q4948,http://wwww.wikidata.org/entity/
metadata,aliases,string,The Most Serene Republic of Venice,
metadata,aliases,string,The Republic of Venice,
metadata,aliases,string,Repulic of Venice,
metadata,aliases,string,Venezia Republic,
metadata,aliases,string,Venetian Republic,
metadata,aliases,string,Venetian Empire,
metadata,aliases,string,Republic of Venezia,
metadata,aliases,string,Most Serene Republic of Venice,
metadata,aliases,string,Republic Venice,
metadata,aliases,string,The Serenissima,
metadata,aliases,string,Venice Republic,
metadata,aliases,string,Serenissima Repubblica di Venezia,
metadata,aliases,string,Duchy of Venetia,
metadata,aliases,string,Republic of Saint Mark,
metadata,aliases,string,Republic of St. Mark,
metadata,aliases,string,Venice,
metadata,aliases,string,Serenìsima Repùblega de Venèsia,
metadata,aliases,string,Republic of Venice,
