category,faam_property,type,value,base_url
metadata,label,string,director,
metadata,label,string,academic musician,
metadata,description,string,person who leads a particular area of a company or organization,
metadata,id,id,kHp8wFpn,
metadata,nodegoat_id,id,15990896,
metadata,qid,externalid,Q1162163,http://wwww.wikidata.org/entity/
metadata,aliases,string,chief,
metadata,aliases,string,head,
metadata,aliases,string,corporate director,
metadata,aliases,string,boss,
metadata,aliases,string,company director,
metadata,aliases,string,director,
