category,faam_property,type,value,base_url
metadata,label,string,Bremen,
metadata,label,string,Bremen,
metadata,description,string,"city in the Bremen federated state, Germany",
metadata,id,id,jdQCCb5Y,
metadata,nodegoat_id,id,33901,
metadata,qid,externalid,Q24879,http://wwww.wikidata.org/entity/
metadata,aliases,string,Bremen,
metadata,aliases,string,City Municipality of Bremen,
metadata,aliases,string,Hansestadt Bremen,
statements,GeoNames ID,externalid,2944388,https://www.geonames.org/
statements,GeoNames ID,externalid,DE,https://www.geonames.org/
