category,faam_property,type,value,base_url
metadata,label,string,screenwriter,
metadata,label,string,translator,
metadata,description,string,"writer who writes for films, TV shows, comics and games",
metadata,id,id,NcRBkJKT,
metadata,nodegoat_id,id,15990965,
metadata,qid,externalid,Q28389,http://wwww.wikidata.org/entity/
metadata,aliases,string,scenarist,
metadata,aliases,string,writer,
metadata,aliases,string,screen writer,
metadata,aliases,string,script writer,
metadata,aliases,string,scriptwriter,
metadata,aliases,string,screenplay writer,
metadata,aliases,string,screenwriter,
