category,faam_property,type,value,base_url
metadata,label,string,timpani,
metadata,label,string,timpani,
metadata,description,string,large percussion musical instrument which produces a definite pitch,
metadata,id,id,ZTbXrTCC,
metadata,nodegoat_id,id,15990842,
metadata,qid,externalid,Q189737,http://wwww.wikidata.org/entity/
metadata,aliases,string,kettledrums,
metadata,aliases,string,timps,
metadata,aliases,string,timpano,
metadata,aliases,string,tympani,
metadata,aliases,string,kettledrum,
metadata,aliases,string,tympany,
metadata,aliases,string,timpany,
metadata,aliases,string,kettle drum,
metadata,aliases,string,timpanum,
metadata,aliases,string,timpani,
