category,faam_property,type,value,base_url
metadata,label,string,performer,
metadata,description,string,"artist who participates in performing arts in front of an audience: actors, comedians, dancers, magicians, circus artists, musicians, singers",
metadata,aliases,string,performer,
metadata,aliases,string,scenic artist,
metadata,aliases,string,music hall performer,
metadata,aliases,string,artist,
metadata,aliases,string,performers,
metadata,aliases,string,performing artist,
metadata,qid,externalid,Q713200,http://wwww.wikidata.org/entity/
metadata,nodegoat_id,id,15990792,
