category,faam_property,type,value,base_url
metadata,label,string,musical,
metadata,description,string,"stage work that combines songs, music, spoken dialogue, acting, and dance",
metadata,aliases,string,musical play,
metadata,aliases,string,stage musical,
metadata,aliases,string,musical theater,
metadata,aliases,string,lyric drama,
metadata,aliases,string,musical theatre,
metadata,aliases,string,musical,
metadata,qid,externalid,Q2743,http://wwww.wikidata.org/entity/
metadata,nodegoat_id,id,15998743,
