category,faam_property,type,value,base_url
metadata,label,string,military personnel,
metadata,label,string,school inspector,
metadata,description,string,people who serve in an organized armed military force,
metadata,id,id,L62FzyiC,
metadata,nodegoat_id,id,15991005,
metadata,qid,externalid,Q47064,http://wwww.wikidata.org/entity/
metadata,aliases,string,military forces,
metadata,aliases,string,military members,
metadata,aliases,string,military people,
metadata,aliases,string,military man,
metadata,aliases,string,military employee,
metadata,aliases,string,military personnel,
