category,faam_property,type,value,base_url
metadata,label,string,pitch,
metadata,label,string,pitch,
metadata,description,string,perceptual property in music ordering sounds from low to high,
metadata,id,id,Cf64Khds,
metadata,nodegoat_id,id,16002391,
metadata,qid,externalid,Q118819,http://wwww.wikidata.org/entity/
metadata,aliases,string,pitch in music,
metadata,aliases,string,musical pitch,
metadata,aliases,string,pitch of a note,
metadata,aliases,string,pitch of a tone,
metadata,aliases,string,pitch,
