category,faam_property,type,value,base_url
metadata,label,string,sharp sign,
metadata,label,string,sharp sign,
metadata,description,string,musical sign (accidental) raising the pitch of a note by one chromatic semitone (factor 2^(1/12)),
metadata,nodegoat_id,id,16002347,
metadata,qid,externalid,Q2542618,http://wwww.wikidata.org/entity/
metadata,aliases,string,dièse,
metadata,aliases,string,diesis,
metadata,aliases,string,♯,
metadata,aliases,string,diese,
metadata,aliases,string,♯-sign,
metadata,aliases,string,sharp sign,
