category,faam_property,type,value,base_url
metadata,label,string,literary critic,
metadata,label,string,literary critic,
metadata,description,string,cultural journalist who reviews new literary books,
metadata,id,id,MWj4YCrh,
metadata,nodegoat_id,id,15990874,
metadata,qid,externalid,Q4263842,http://wwww.wikidata.org/entity/
metadata,aliases,string,literary critique,
metadata,aliases,string,book critic,
metadata,aliases,string,literature critic,
metadata,aliases,string,critic of literature,
metadata,aliases,string,literary critic,
