category,faam_property,type,value,base_url
metadata,label,string,Holy Roman Empire,
metadata,label,string,Holy Roman Empire,
metadata,description,string,multi-ethnic complex of territories in Western and Central Europe (800/962–1806),
metadata,nodegoat_id,id,16004405,
metadata,qid,externalid,Q12548,http://wwww.wikidata.org/entity/
metadata,aliases,string,First Reich,
metadata,aliases,string,Reich,
metadata,aliases,string,HRE,
metadata,aliases,string,Roman-German Empire,
metadata,aliases,string,Old Empire,
metadata,aliases,string,Holy Roman Empire,
