category,faam_property,type,value,base_url
metadata,label,string,London,
metadata,label,string,London,
metadata,description,string,,
metadata,description,string,capital and largest city of England and the United Kingdom,
metadata,id,id,bsTArmEN,
metadata,nodegoat_id,id,54016,
metadata,qid,externalid,Q84,http://wwww.wikidata.org/entity/
metadata,aliases,string,London,
metadata,aliases,string,"London, UK",
metadata,aliases,string,"London, United Kingdom",
metadata,aliases,string,"London, England",
metadata,aliases,string,London UK,
metadata,aliases,string,London U.K.,
metadata,aliases,string,Londinium,
metadata,aliases,string,Loñ,
metadata,aliases,string,Lundenwic,
metadata,aliases,string,Londinio,
metadata,aliases,string,Londini,
metadata,aliases,string,Londiniensium,
metadata,aliases,string,Augusta,
metadata,aliases,string,Trinovantum,
metadata,aliases,string,Kaerlud,
metadata,aliases,string,Karelundein,
metadata,aliases,string,Lunden,
metadata,aliases,string,Big Smoke,
metadata,aliases,string,the Big Smoke,
metadata,aliases,string,Lundenburh,
metadata,aliases,string,Lundenburgh,
metadata,aliases,string,Llyn Dain,
metadata,aliases,string,Llan Dian,
metadata,aliases,string,Londinion,
metadata,aliases,string,Loniniensi,
metadata,aliases,string,Lon.,
metadata,aliases,string,Loñ.,
metadata,aliases,string,Lond.,
metadata,aliases,string,LDN,
statements,GeoNames ID,externalid,2643743,https://www.geonames.org/
statements,GeoNames ID,externalid,GB,https://www.geonames.org/
